skip,case_name,:main_cool_coil_type,:chw_chiller_model,:chw_chiller_eir_fplr_type,:chw_chiller_cop,:chw_cooling_source,:chw_chiller_type,:chw_wc_option,:chw_pump_type,:chw_chiller_condenser,:cool_sizing_factor,:main_hvac_type,:heat_sizing_factor,:hvac_config,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac,:hw_boiler_eff
,NE-Chiller-WtrCldCentChlr-0.544-kwpton-0.334-IPLV,WATER,Model 7 WC Chiller,Lift,6.5,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.725-kwpton-0.415-IPLV,WATER,Model 9 WC Chiller,Lift,4.8,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.725-kwpton-0.44-IPLV,WATER,Model 7 WC Chiller,Lift,4.8,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.544-kwpton-0.315-IPLV,WATER,Model 9 WC Chiller,Lift,6.5,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.544-kwpton-0.334-IPLV,WATER,Model 7 WC Chiller,Lift,6.5,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.632-kwpton-0.365-IPLV,WATER,Model 9 WC Chiller,Lift,5.6,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.632-kwpton-0.387-IPLV,WATER,Model 7 WC Chiller,Lift,5.6,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.581-kwpton-0.34-IPLV,WATER,Model 9 WC Chiller,Lift,6.1,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.581-kwpton-0.361-IPLV,WATER,Model 7 WC Chiller,Lift,6.1,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.698-kwpton-0.407-IPLV,WATER,Model 9 WC Chiller,Lift,5,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.698-kwpton-0.431-IPLV,WATER,Model 7 WC Chiller,Lift,5,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.695-kwpton-0.44-IPLV,WATER,ReformEIRChiller WC Cent Carrier 19XR 1234kW/5.39COP/VSD,LeavingCondenserWaterTemperature,5.1,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.635-kwpton-0.4-IPLV,WATER,ReformEIRChiller WC Cent Carrier 19XR 1234kW/5.39COP/VSD,LeavingCondenserWaterTemperature,5.5,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.595-kwpton-0.39-IPLV,WATER,ReformEIRChiller WC Cent Carrier 19XR 1234kW/5.39COP/VSD,LeavingCondenserWaterTemperature,5.9,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.585-kwpton-0.38-IPLV,WATER,ReformEIRChiller WC Cent Carrier 19XR 1234kW/5.39COP/VSD,LeavingCondenserWaterTemperature,6,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
,NE-Chiller-WtrCldCentChlr-0.585-kwpton-0.38-IPLV,WATER,ReformEIRChiller WC Cent Carrier 19XR 1234kW/5.39COP/VSD,LeavingCondenserWaterTemperature,6,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.78-kwpton-0.5-IPLV,WATER,ReformEIRChiller Screw WC Carrier 23XL 1062kW/5.50COP/Valve,LeavingCondenserWaterTemperature,4.5,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.75-kwpton-0.49-IPLV,WATER,ReformEIRChiller Screw WC Carrier 23XL 1062kW/5.50COP/Valve,LeavingCondenserWaterTemperature,4.7,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.68-kwpton-0.44-IPLV,WATER,ReformEIRChiller Screw WC Carrier 23XL 1062kW/5.50COP/Valve,LeavingCondenserWaterTemperature,5.2,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.625-kwpton-0.41-IPLV,WATER,ReformEIRChiller Screw WC Carrier 23XL 1062kW/5.50COP/Valve,LeavingCondenserWaterTemperature,5.6,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,NE-Chiller-WtrCldScrewChlr-0.585-kwpton-0.38-IPLV,WATER,ReformEIRChiller Screw WC Carrier 23XL 1062kW/5.50COP/Valve,LeavingCondenserWaterTemperature,6,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,Test-WtrCldCentChlr-0.646-kwpton-0.365-IPLV-Base,WATER,ReformEIRChiller WC Cent Carrier 19XR 1234kW/5.39COP/VSD,LeavingCondenserWaterTemperature,5.4,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,Test-WtrCldScrewChlr-0.725-kwpton-0.44-IPLV-Base,WATER,ReformEIRChiller Screw WC Carrier 23XL 1062kW/5.50COP/Valve,LeavingCondenserWaterTemperature,4.8,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,Test-EIR_Cent,WATER,WC Cent Carrier 19XR 1234kW/5.39COP/VSD,LeavingCondenserWaterTemperature,5.39,CHILLER,ELECTRIC,EIR,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
#,Test-EIR_Screw,WATER,Screw WC Trane RTHB 1051kW/5.05COP/Valve,LeavingCondenserWaterTemperature,5.05,CHILLER,ELECTRIC,EIR,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805
