File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,CHW Pump Power,CW Pump Power,Electricity/Heating,Electricity/Cooling,Electricity/Interior Lighting,Electricity/Exterior Lighting,Electricity/Interior Equipment,Electricity/Exterior Equipment,Electricity/Fans,Electricity/Pumps,Electricity/Heat Rejection,Electricity/Humidification,Electricity/Heat Recovery,Electricity/Water Systems,Electricity/Refrigeration,Electricity/Generators,Natural Gas/Heating,Natural Gas/Cooling,Natural Gas/Interior Lighting,Natural Gas/Exterior Lighting,Natural Gas/Interior Equipment,Natural Gas/Exterior Equipment,Natural Gas/Fans,Natural Gas/Pumps,Natural Gas/Heat Rejection,Natural Gas/Humidification,Natural Gas/Heat Recovery,Natural Gas/Water Systems,Natural Gas/Refrigeration,Natural Gas/Generators,Electricity:Facility [J](Hourly)
SWHC008-03 VSD Central Plant_New/runs/CZ03/Hsp&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ03,Hsp,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,34658.36,0,754640.21,626942.71,0,1141299.43,0,252759.65,138048.43,270976.11,0,0,0,0,0,661278.26,0,0,0,43737.51,0,0,0,0,0,0,274211.56,0,0,2534223157
SWHC008-03 VSD Central Plant_New/runs/CZ04/ESe&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ04,ESe,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,1618.69,,0,149958.27,94437.9,0,258328.15,0,333382.33,43253.19,49093.29,0,0,0,0,0,119765.66,0,0,0,64094.3,0,0,0,0,0,0,223735,0,0,759148727.9
SWHC008-03 VSD Central Plant_New/runs/CZ03/Rt3&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ03,Rt3,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,336706.07,394508.4,0,436518,0,165115.12,205370.92,218816.02,0,0,0,0,0,476328.93,0,0,0,0,0,0,0,0,0,0,176281.24,0,0,1777700471
SWHC008-03 VSD Central Plant_New/runs/CZ03/Rt3&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ03,Rt3,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,7211.61,,0,302584.3,394508.4,0,436518,0,165123.14,191209.44,218010.64,0,0,0,0,0,475911.22,0,0,0,0,0,0,0,0,0,0,176282.93,0,0,1720912033
SWHC008-03 VSD Central Plant_New/runs/CZ04/ESe&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ04,ESe,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,4621.07,0,172940.52,94437.9,0,258328.15,0,333169.49,12285.67,23791.61,0,0,0,0,0,119683.48,0,0,0,64094.3,0,0,0,0,0,0,223735.99,0,0,809612371.6
SWHC008-03 VSD Central Plant_New/runs/CZ03/OfL&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ03,OfL,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,20469.16,0,450493.27,239542.44,0,831153.37,0,151690.68,70144.66,146037.56,0,0,0,0,0,218349.75,0,0,0,0,0,0,0,0,0,0,115359.52,0,0,1532952149
SWHC008-03 VSD Central Plant_New/runs/CZ04/ECC&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ04,ECC,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,29337.02,0,825485.87,163686.57,0,936314.72,0,267044.88,106929.66,215973.21,0,0,0,0,0,273225.59,0,0,0,68627.6,0,0,0,0,0,0,467608.99,0,0,2171786425
SWHC008-03 VSD Central Plant_New/runs/CZ04/ECC&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ04,ECC,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,828142.61,163686.57,0,936314.72,0,267083.49,318911,313539.11,0,0,0,0,0,273282.56,0,0,0,68627.6,0,0,0,0,0,0,467622.04,0,0,2212613928
SWHC008-03 VSD Central Plant_New/runs/CZ04/ECC&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ04,ECC,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,10276.29,,0,515749.24,163686.57,0,936314.72,0,266891.91,281883.47,308779.42,0,0,0,0,0,271500.14,0,0,0,68627.6,0,0,0,0,0,0,467601.04,0,0,2012424247
SWHC008-03 VSD Central Plant_New/runs/CZ04/ESe&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ04,ESe,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,173265.1,94437.9,0,258328.15,0,333143.59,46169.86,49139.93,0,0,0,0,0,119679.48,0,0,0,64094.3,0,0,0,0,0,0,223736.12,0,0,812182810
