TabularDataIndex,Value,ReportName,ReportForString,TableName,RowName,ColumnName,Units,File Name
6,111.26,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ02/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
2,421169.83,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ02/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
8,290.87,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ02/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
4,1101048.13,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ02/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
6,104.28,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ02/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
2,394752.18,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ02/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
8,261.8,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ02/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
4,991010.42,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ02/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
6,47.88,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ02/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
2,12828.0,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ02/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
8,130.62,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ02/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
4,34992.02,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ02/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
6,46.4,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ02/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
2,12429.78,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ02/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
8,125.65,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ02/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
4,33662.06,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ02/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
6,180.65,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ02/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
2,1248712.69,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ02/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
8,468.26,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ02/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
4,3236711.75,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ02/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
6,185.75,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ02/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
2,1283971.06,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ02/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
8,479.08,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ02/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
4,3311505.12,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ02/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
6,106.46,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ03/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
2,402987.38,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ03/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
8,277.54,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ03/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
4,1050584.01,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ03/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
6,99.33,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ03/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
2,376018.56,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ03/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
8,250.36,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ03/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
4,947713.73,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ03/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
6,37.19,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ03/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
2,9964.24,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ03/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
8,94.98,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ03/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
4,25444.98,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ03/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
6,44.51,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ03/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
2,11924.68,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ03/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
8,119.42,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ03/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
4,31992.96,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ03/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
6,164.26,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ03/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
2,1135417.54,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ03/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
8,424.7,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ03/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
4,2935604.68,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ03/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
6,172.1,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ03/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
2,1189602.22,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ03/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
8,447.91,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ03/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
4,3096072.9,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ03/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
6,111.86,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ04/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
2,423448.6,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ04/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
8,298.08,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ04/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
4,1128362.78,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ04/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
6,102.02,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ04/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
2,386171.8,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ04/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
8,262.42,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ04/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
4,993342.53,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ04/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql
6,38.08,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ04/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
2,10201.05,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ04/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
8,98.79,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ04/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
4,26466.37,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ04/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql
6,45.29,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ04/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
2,12133.51,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ04/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
8,122.89,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ04/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
4,32921.05,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ04/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql
6,169.22,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ04/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
2,1169686.3,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ04/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql
