Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ01,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,1.5108
CZ01,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,1.5108
CZ01,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,1.5108
CZ01,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,1.5108
CZ01,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,1.5108
CZ01,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,1.5108
CZ01,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,1.5108
CZ01,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,1.5108
CZ01,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,1.5108
CZ01,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,1.5161
CZ01,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,1.5161
CZ01,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,1.5161
CZ01,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,1.5161
CZ01,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,1.5161
CZ01,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,1.5161
CZ01,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,1.5161
CZ01,SFm&1&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,1.5161
CZ01,SFm&1&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,1.5161
CZ01,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,2.2697
CZ01,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,2.2697
