File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,42.10,95.63,32377.47,73548.69
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,41.18,92.72,31672.03,71314.54
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,39.95,88.83,30727.68,68323.81
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,43.33,99.52,33323.99,76546.32
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,45.10,105.12,34683.87,80853.05
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,47.96,114.18,36883.93,87820.63
CZ11/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,57.24,143.57,44021.06,110423.93
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,56.98,145.19,50777.66,129380.28
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,54.12,136.12,48225.99,121299.11
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,60.62,156.70,54018.66,139644.51
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,58.30,149.37,51956.02,133112.15
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,55.27,139.76,49250.79,124544.66
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,63.73,166.56,56792.04,148427.82
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,68.21,180.75,60785.95,161076.51
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,75.48,203.78,67263.84,181591.98
CZ11/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,99.14,278.71,88348.03,248365.64
CZ11/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,46.35,87.21,35649.63,67075.35
CZ11/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,46.01,86.14,35389.68,66252.07
CZ11/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,46.72,88.37,35931.92,67969.36
CZ11/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,46.34,87.18,35641.43,67049.36
CZ11/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,47.38,90.46,36439.85,69577.97
CZ11/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,48.31,93.43,37159.83,71858.14
CZ11/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,49.74,97.96,38259.67,75341.34
CZ11/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,52.20,105.73,40147.73,81320.84
CZ11/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,60.90,133.30,46843.06,102524.95
CZ11/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,71.30,137.17,63535.54,122236.25
CZ11/SFm&2&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,70.43,134.43,62765.18,119796.51
CZ11/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,72.24,140.14,64372.09,124885.58
CZ11/SFm&2&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,71.27,137.08,63511.22,122159.23
CZ11/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,73.93,145.49,65877.30,129652.60
CZ11/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,76.32,153.07,68010.91,136409.73
CZ11/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,79.98,164.66,71270.22,146731.97
CZ11/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,86.26,184.54,76865.37,164451.82
CZ11/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,108.52,255.05,96706.55,227288.82
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,39.01,85.52,30000.25,65775.64
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,37.97,82.24,29203.26,63251.59
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,39.94,88.48,30718.71,68051.00
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,39.35,86.62,30266.97,66620.34
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,38.26,83.17,29429.44,63967.88
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,40.70,90.87,31300.33,69893.00
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,41.73,94.15,32096.98,72415.99
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,43.32,99.18,33317.47,76281.28
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,48.09,114.29,36987.44,87904.07
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,53.07,132.54,47295.34,118108.69
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,50.46,124.26,44965.18,110729.06
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,55.54,140.35,49494.82,125074.43
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,53.99,135.43,48109.26,120686.38
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,51.24,126.72,45658.05,112923.40
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,57.56,146.74,51291.12,130763.33
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,60.34,155.55,53772.05,138620.42
