File,Bldg,CZ,TechID,MappedRun,srcHeat,srcCool,srcFan,fileHeat,fileCool,fileFan,MATCH
UEC_kWhBase.csv,MFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30% UC AOE,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15285.5,3285.98,1325.04,15285.5,3285.98,1325.04,Y
UEC_kWhBase.csv,MFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40% UC AOE,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,16519.84,6338.77,1325.04,16519.84,6338.77,1325.04,Y
UEC_kWhBase.csv,MFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40% UC AOE,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,16519.84,6338.77,1325.04,16519.84,6338.77,1325.04,Y
UEC_kWhBase.csv,MFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5% UC AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,18449.64,8296.01,3183.17,18449.64,8296.01,3183.17,Y
UEC_kWhBase.csv,MFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5% UC AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,18449.64,8296.01,3183.17,18449.64,8296.01,3183.17,Y
UEC_kWhBase.csv,MFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC AOE,LRM AOE LSC R22 R410a rDXGF Base,18449.64,7074.34,3183.17,18449.64,7074.34,3183.17,Y
UEC_kWhBase.csv,MFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC AOE,LRM AOE LSC R22 R410a rDXGF Base,18449.64,7074.34,3183.17,18449.64,7074.34,3183.17,Y
UEC_kWhBase.csv,MFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC NR,LRM NR LSC R454b rDXGF Base,18449.64,6375.64,3183.17,18449.64,6375.64,3183.17,Y
UEC_kWhBase.csv,MFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC NC,LRM NR LSC R454b rDXGF Base,18449.64,6375.64,3183.17,18449.64,6375.64,3183.17,Y
UEC_kWhBase.csv,MFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15% UC AOE,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,18449.64,10027.7,3183.17,18449.64,10027.7,3183.17,Y
