skip,case_name,:water_heater_type,:water_heater_location,:water_heater_cap,:thermal_eff,:tank_size,:draw_pattern,:parasitic_power,:parasitic_fuel,:sch
,Inst-0.81HI,gas_tankless,unconditioned,41000['BTUH'],0.84,,HI,350 ['BTUH'],NaturalGas,MFm_minute_dhw_demand_fraction.csv
,Inst-0.87HI,gas_tankless,unconditioned,41000['BTUH'],0.92,,HI,350 ['BTUH'],NaturalGas,MFm_minute_dhw_demand_fraction.csv
,Inst-0.92HI,gas_tankless,unconditioned,41000['BTUH'],0.96,,HI,350 ['BTUH'],NaturalGas,MFm_minute_dhw_demand_fraction.csv
,Inst-0.96HI,gas_tankless,unconditioned,41000['BTUH'],0.99,,HI,350 ['BTUH'],NaturalGas,MFm_minute_dhw_demand_fraction.csv
,Strg40-0.64HI,gas,unconditioned,41000['BTUH'],0.752,40,HI,350 ['BTUH'],NaturalGas,MFm_minute_dhw_demand_fraction.csv
,Strg40-0.60EF,gas,unconditioned,41000['BTUH'],0.76,40,,350 ['BTUH'],NaturalGas,MFm_minute_dhw_demand_fraction.csv
,Strg40-0.58MD,gas,unconditioned,41000['BTUH'],0.77,40,MD,350 ['BTUH'],NaturalGas,MFm_minute_dhw_demand_fraction.csv
,Inst-0.81MD,gas_tankless,unconditioned,41000['BTUH'],0.84,,MD,350 ['BTUH'],NaturalGas,MFm_minute_dhw_demand_fraction.csv
,Inst-0.87MD,gas_tankless,unconditioned,41000['BTUH'],0.95,,MD,350 ['BTUH'],NaturalGas,MFm_minute_dhw_demand_fraction.csv
