Time stamp,CZ05
0:00,0.35564058
1:00,0.383417779
2:00,0.342661349
3:00,0.374646108
4:00,0.395630924
5:00,0.404097159
6:00,0.435564769
7:00,0.378800254
8:00,0.436046748
9:00,0.247812493
10:00,0.285064065
11:00,0.264079988
12:00,0.20941351
13:00,0.204517916
14:00,0.224189431
15:00,0.217336237
16:00,0.240953734
17:00,0.21757524
18:00,0.185531238
19:00,0.25761931
20:00,0.213616667
21:00,0.442702625
22:00,0.31061618
23:00,0.274466951
0:00,0.332639543
1:00,0.362939039
2:00,0.380318587
3:00,0.389553844
4:00,0.398474867
5:00,0.407432579
6:00,0.427499328
7:00,0.408682752
8:00,0.297243329
9:00,0.278817529
10:00,0.326795307
11:00,0.245633907
12:00,0.220221022
13:00,0.243173951
14:00,0.241455522
15:00,0.206705699
16:00,0.223665341
17:00,0.222162483
18:00,0.238780616
19:00,0.250453116
20:00,0.298447191
21:00,0.282452489
22:00,0.285277268
23:00,0.363601839
0:00,0.324523298
1:00,0.353033587
2:00,0.372160474
3:00,0.378671649
4:00,0.385058624
5:00,0.391395684
6:00,0.431649878
7:00,0.41070224
8:00,0.24863774
9:00,0.307495979
10:00,0.265851898
11:00,0.31771703
12:00,0.253040024
13:00,0.178986493
14:00,0.188235236
15:00,0.167659103
16:00,0.189710161
17:00,0.203480408
18:00,0.226524509
19:00,0.221736853
20:00,0.250983789
21:00,0.265677791
22:00,0.300846
23:00,0.328030912
0:00,0.35369226
1:00,0.36451137
2:00,0.370927217
3:00,0.376857066
4:00,0.38241108
5:00,0.388816936
6:00,0.388555709
7:00,0.369153679
8:00,0.332391935
9:00,0.301634417
10:00,0.283299257
11:00,0.269546265
12:00,0.256603097
13:00,0.246764409
14:00,0.236559288
15:00,0.241613378
16:00,0.208643603
17:00,0.216825809
18:00,0.238218069
19:00,0.278000392
20:00,0.233307905
21:00,0.316956767
22:00,0.293010613
23:00,0.254453365
0:00,0.287375967
1:00,0.352277205
2:00,0.46800219
3:00,0.318569674
4:00,0.324844628
5:00,0.383054294
6:00,0.699021013
7:00,0.330577858
