skip,case_name,:total_leakage_ratio,:return_leakage_frac
,RB-HV_AirDist-DuctLeak-rDXHP-OptRpl-Tot35pct,0.35,
,RB-HV_AirDist-DuctLeak-rDXHP-OptRpl-Tot15pct,0.15,
,RB-HV_AirDist-DuctLeak-rDXHP-OptRtf-Ret50pct,0.3,0.5
,RB-HV_AirDist-DuctLeak-rDXHP-OptRtf-Ret15pct,0.3,0.15
