Name,Parameter,Value
CHILLER:ENGINEDRIVEN,Nominal Capacity,3
CHILLERHEATER:ABSORPTION:DIRECTFIRED,Design Chilled Water Flow Rate,19
CHILLERHEATER:ABSORPTION:DIRECTFIRED,Design Condenser Water Flow Rate,20
CHILLERHEATER:ABSORPTION:DIRECTFIRED,Design Hot Water Flow Rate,21
CHILLERHEATER:ABSORPTION:DIRECTFIRED,Design Size Design Chilled Water Flow Rate,19
CHILLERHEATER:ABSORPTION:DIRECTFIRED,Design Size Design Condenser Water Flow Rate,20
CHILLERHEATER:ABSORPTION:DIRECTFIRED,Design Size Design Hot Water Flow Rate,21
CHILLERHEATER:ABSORPTION:DIRECTFIRED,Design Size Nominal Cooling Capacity,2
CHILLERHEATER:ABSORPTION:DIRECTFIRED,Nominal Cooling Capacity,2
CHILLERHEATER:ABSORPTION:DOUBLEEFFECT,Design Chilled Water Flow Rate,19
CHILLERHEATER:ABSORPTION:DOUBLEEFFECT,Design Condenser Water Flow Rate,20
CHILLERHEATER:ABSORPTION:DOUBLEEFFECT,Design Hot Water Flow Rate,21
CHILLERHEATER:ABSORPTION:DOUBLEEFFECT,Design Size Design Chilled Water Flow Rate,19
CHILLERHEATER:ABSORPTION:DOUBLEEFFECT,Design Size Design Condenser Water Flow Rate,20
CHILLERHEATER:ABSORPTION:DOUBLEEFFECT,Design Size Design Hot Water Flow Rate,21
CHILLERHEATER:ABSORPTION:DOUBLEEFFECT,Design Size Nominal Cooling Capacity,2
CHILLERHEATER:ABSORPTION:DOUBLEEFFECT,Nominal Cooling Capacity,2
CHILLERHEATERPERFORMANCE:ELECTRIC:EIR,Design Chilled Water Flow Rate,14
CHILLERHEATERPERFORMANCE:ELECTRIC:EIR,Design Condenser Water Flow Rate,15
CHILLERHEATERPERFORMANCE:ELECTRIC:EIR,Design Size Design Chilled Water Flow Rate,14
CHILLERHEATERPERFORMANCE:ELECTRIC:EIR,Design Size Design Condenser Water Flow Rate,15
CHILLERHEATERPERFORMANCE:ELECTRIC:EIR,Design Size Reference Cooling Mode Evaporator Capacity,2
CHILLERHEATERPERFORMANCE:ELECTRIC:EIR,Reference Cooling Mode Evaporator Capacity,2
COIL:COOLING:DX:CURVEFIT:OPERATINGMODE,Design Size Nominal Evaporative Condenser Pump Power,11
COIL:COOLING:DX:CURVEFIT:OPERATINGMODE,Design Size Rated Condenser Air Flow Rate,4
COIL:COOLING:DX:CURVEFIT:OPERATINGMODE,Design Size Rated Evaporator Air Flow Rate,3
COIL:COOLING:DX:CURVEFIT:OPERATINGMODE,Design Size Rated Gross Total Cooling Capacity,2
COIL:COOLING:DX:CURVEFIT:OPERATINGMODE,Nominal Evaporative Condenser Pump Power,11
COIL:COOLING:DX:CURVEFIT:OPERATINGMODE,Rated Condenser Air Flow Rate,4
COIL:COOLING:DX:CURVEFIT:OPERATINGMODE,Rated Evaporator Air Flow Rate,3
COIL:COOLING:DX:CURVEFIT:OPERATINGMODE,Rated Gross Total Cooling Capacity,2
COIL:COOLING:DX:CURVEFIT:SPEED,Design Size Gross Sensible Heat Ratio,5
COIL:COOLING:DX:CURVEFIT:SPEED,Gross Sensible Heat Ratio,5
COIL:COOLING:DX:MULTISPEED,Design Size Speed 1 Evaporative Condenser Air Flow Rate,37
COIL:COOLING:DX:MULTISPEED,Design Size Speed 1 Gross Rated Sensible Heat Ratio,20
COIL:COOLING:DX:MULTISPEED,Design Size Speed 1 Rated Sensible Heat Ratio,20
COIL:COOLING:DX:MULTISPEED,Design Size Speed 1 Gross Rated Total Cooling Capacity,19
COIL:COOLING:DX:MULTISPEED,Design Size Speed 1 Rated Air Flow Rate,22
COIL:COOLING:DX:MULTISPEED,Design Size Speed 1 Rated Evaporative Condenser Pump Power Consumption,39,Note: mismatch due to EnergyPlus bug
COIL:COOLING:DX:MULTISPEED,Design Size Speed 2 Evaporative Condenser Air Flow Rate,57
COIL:COOLING:DX:MULTISPEED,Design Size Speed 2 Gross Rated Sensible Heat Ratio,40
COIL:COOLING:DX:MULTISPEED,Design Size Speed 2 Rated Sensible Heat Ratio,40
COIL:COOLING:DX:MULTISPEED,Design Size Speed 2 Gross Rated Total Cooling Capacity,39
COIL:COOLING:DX:MULTISPEED,Design Size Speed 2 Gross Rated Cooling COP,42
COIL:COOLING:DX:MULTISPEED,Design Size Speed 2 Rated Air Flow Rate,42
COIL:COOLING:DX:MULTISPEED,Design Size Speed 2 Rated Evaporative Condenser Pump Power Consumption,58
COIL:COOLING:DX:MULTISPEED,Design Size Speed 3 Evaporative Condenser Air Flow Rate,77
COIL:COOLING:DX:MULTISPEED,Design Size Speed 3 Gross Rated Sensible Heat Ratio,60
COIL:COOLING:DX:MULTISPEED,Design Size Speed 3 Gross Rated Total Cooling Capacity,59
COIL:COOLING:DX:MULTISPEED,Design Size Speed 3 Rated Air Flow Rate,62
COIL:COOLING:DX:MULTISPEED,Design Size Speed 3 Rated Evaporative Condenser Pump Power Consumption,78
COIL:COOLING:DX:MULTISPEED,Design Size Speed 4 Evaporative Condenser Air Flow Rate,97
COIL:COOLING:DX:MULTISPEED,Design Size Speed 4 Gross Rated Sensible Heat Ratio,80
COIL:COOLING:DX:MULTISPEED,Design Size Speed 4 Gross Rated Total Cooling Capacity,79
COIL:COOLING:DX:MULTISPEED,Design Size Speed 4 Rated Air Flow Rate,82
COIL:COOLING:DX:MULTISPEED,Design Size Speed 4 Rated Evaporative Condenser Pump Power Consumption,98
COIL:COOLING:DX:MULTISPEED,Speed 1 Evaporative Condenser Air Flow Rate,37
COIL:COOLING:DX:MULTISPEED,Speed 1 Gross Rated Sensible Heat Ratio,20
COIL:COOLING:DX:MULTISPEED,Speed 1 Gross Rated Total Cooling Capacity,19
COIL:COOLING:DX:MULTISPEED,Speed 1 Rated Air Flow Rate,22
COIL:COOLING:DX:MULTISPEED,Speed 1 Rated Evaporative Condenser Pump Power Consumption,38
COIL:COOLING:DX:MULTISPEED,Speed 2 Evaporative Condenser Air Flow Rate,57
COIL:COOLING:DX:MULTISPEED,Speed 2 Gross Rated Sensible Heat Ratio,40
COIL:COOLING:DX:MULTISPEED,Speed 2 Gross Rated Total Cooling Capacity,39
COIL:COOLING:DX:MULTISPEED,Speed 2 Rated Air Flow Rate,42
COIL:COOLING:DX:MULTISPEED,Speed 2 Rated Evaporative Condenser Pump Power Consumption,58
COIL:COOLING:DX:MULTISPEED,Speed 3 Evaporative Condenser Air Flow Rate,77
COIL:COOLING:DX:MULTISPEED,Speed 3 Gross Rated Sensible Heat Ratio,60
COIL:COOLING:DX:MULTISPEED,Speed 3 Gross Rated Total Cooling Capacity,59
COIL:COOLING:DX:MULTISPEED,Speed 3 Rated Air Flow Rate,62
COIL:COOLING:DX:MULTISPEED,Speed 3 Rated Evaporative Condenser Pump Power Consumption,78
COIL:COOLING:DX:MULTISPEED,Speed 4 Evaporative Condenser Air Flow Rate,97
COIL:COOLING:DX:MULTISPEED,Speed 4 Gross Rated Sensible Heat Ratio,80
COIL:COOLING:DX:MULTISPEED,Speed 4 Gross Rated Total Cooling Capacity,79
COIL:COOLING:DX:MULTISPEED,Speed 4 Rated Air Flow Rate,82
COIL:COOLING:DX:MULTISPEED,Speed 4 Rated Evaporative Condenser Pump Power Consumption,98
COIL:COOLING:DX:SINGLESPEED,Design Size Evaporative Condenser Air Flow Rate,24
COIL:COOLING:DX:SINGLESPEED,Design Size Evaporative Condenser Pump Rated Power Consumption,25
COIL:COOLING:DX:SINGLESPEED,Design Size Gross Rated Sensible Heat Ratio,4
COIL:COOLING:DX:SINGLESPEED,Design Size Gross Rated Total Cooling Capacity,3
COIL:COOLING:DX:SINGLESPEED,Design Size Rated Air Flow Rate,6
COIL:COOLING:DX:SINGLESPEED,Evaporative Condenser Air Flow Rate,24
COIL:COOLING:DX:SINGLESPEED,Evaporative Condenser Pump Rated Power Consumption,25
COIL:COOLING:DX:SINGLESPEED,Gross Rated Sensible Heat Ratio,4
COIL:COOLING:DX:SINGLESPEED,Gross Rated Total Cooling Capacity,3
COIL:COOLING:DX:SINGLESPEED,Rated Air Flow Rate,6
COIL:COOLING:DX:SINGLESPEED:THERMALSTORAGE,Cooling Only Mode Rated Total Evaporator Cooling Capacity,17
COIL:COOLING:DX:SINGLESPEED:THERMALSTORAGE,Design Size Cooling Only Mode Rated Total Evaporator Cooling Capacity,17
COIL:COOLING:DX:SINGLESPEED:THERMALSTORAGE,Design Size Evaporative Condenser Pump Rated Power Consumption,95
COIL:COOLING:DX:SINGLESPEED:THERMALSTORAGE,Design Size Rated Evaporator Air Flow Rate,13
COIL:COOLING:DX:SINGLESPEED:THERMALSTORAGE,Evaporative Condenser Pump Rated Power Consumption,95
COIL:COOLING:DX:SINGLESPEED:THERMALSTORAGE,Rated Evaporator Air Flow Rate,13
COIL:COOLING:DX:TWOSPEED,Design Size High Speed Evaporative Condenser Air Flow Rate,25
COIL:COOLING:DX:TWOSPEED,Design Size High Speed Evaporative Condenser Pump Rated Power Consumption,26
COIL:COOLING:DX:TWOSPEED,Design Size High Speed Gross Rated Total Cooling Capacity,3
COIL:COOLING:DX:TWOSPEED,Design Size High Speed Rated Air Flow Rate,6
COIL:COOLING:DX:TWOSPEED,Design Size High Speed Rated Sensible Heat Ratio,4
COIL:COOLING:DX:TWOSPEED,Design Size Low Speed Evaporative Condenser Air Flow Rate,28
COIL:COOLING:DX:TWOSPEED,Design Size Low Speed Evaporative Condenser Pump Rated Power Consumption,29
COIL:COOLING:DX:TWOSPEED,Design Size Low Speed Gross Rated Sensible Heat Ratio,16
COIL:COOLING:DX:TWOSPEED,Design Size Low Speed Gross Rated Total Cooling Capacity,15
COIL:COOLING:DX:TWOSPEED,Design Size Low Speed Rated Air Flow Rate,18
COIL:COOLING:DX:TWOSPEED,High Speed Evaporative Condenser Air Flow Rate,25
COIL:COOLING:DX:TWOSPEED,High Speed Evaporative Condenser Pump Rated Power Consumption,26
COIL:COOLING:DX:TWOSPEED,High Speed Gross Rated Total Cooling Capacity,3
COIL:COOLING:DX:TWOSPEED,High Speed Rated Air Flow Rate,6
COIL:COOLING:DX:TWOSPEED,High Speed Rated Sensible Heat Ratio,4
COIL:COOLING:DX:TWOSPEED,Low Speed Evaporative Condenser Air Flow Rate,28
COIL:COOLING:DX:TWOSPEED,Low Speed Evaporative Condenser Pump Rated Power Consumption,29
COIL:COOLING:DX:TWOSPEED,Low Speed Gross Rated Sensible Heat Ratio,16
COIL:COOLING:DX:TWOSPEED,Low Speed Gross Rated Total Cooling Capacity,15
COIL:COOLING:DX:TWOSPEED,Low Speed Rated Air Flow Rate,18
COIL:COOLING:DX:VARIABLEREFRIGERANTFLOW,Design Size Gross Rated Sensible Heat Ratio,4
COIL:COOLING:DX:VARIABLEREFRIGERANTFLOW,Design Size Gross Rated Total Cooling Capacity,3
COIL:COOLING:DX:VARIABLEREFRIGERANTFLOW,Design Size Rated Air Flow Rate,5
COIL:COOLING:DX:VARIABLEREFRIGERANTFLOW,Gross Rated Sensible Heat Ratio,4
COIL:COOLING:DX:VARIABLEREFRIGERANTFLOW,Gross Rated Total Cooling Capacity,3
COIL:COOLING:DX:VARIABLEREFRIGERANTFLOW,Rated Air Flow Rate,5
COIL:COOLING:DX:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL,Design Size Rated Sensible Heat Ratio,6
COIL:COOLING:DX:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL,Design Size Rated Total Cooling Capacity,5
COIL:COOLING:DX:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL,Rated Sensible Heat Ratio,6
COIL:COOLING:DX:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL,Rated Total Cooling Capacity,5
COIL:COOLING:DX:VARIABLESPEED,Design Size Evaporative Condenser Pump Rated Power Consumption,13
COIL:COOLING:DX:VARIABLESPEED,Design Size Gross Rated Total Cooling Capacity At Selected Nominal Speed Level,6
COIL:COOLING:DX:VARIABLESPEED,Design Size Rated Air Flow Rate At Selected Nominal Speed Level,7
COIL:COOLING:DX:VARIABLESPEED,Evaporative Condenser Pump Rated Power Consumption,13
COIL:COOLING:DX:VARIABLESPEED,Gross Rated Total Cooling Capacity At Selected Nominal Speed Level,6
COIL:COOLING:DX:VARIABLESPEED,Rated Air Flow Rate At Selected Nominal Speed Level,7
COIL:COOLING:WATER,Design Air Flow Rate,4
COIL:COOLING:WATER,Design Inlet Air Humidity Ratio,8
COIL:COOLING:WATER,Design Inlet Air Temperature,6
COIL:COOLING:WATER,Design Inlet Water Temperature,5
COIL:COOLING:WATER,Design Outlet Air Humidity Ratio,9
COIL:COOLING:WATER,Design Outlet Air Temperature,7
COIL:COOLING:WATER,Design Size Design Air Flow Rate,4
COIL:COOLING:WATER,Design Size Design Inlet Air Humidity Ratio,8
COIL:COOLING:WATER,Design Size Design Inlet Air Temperature,6
COIL:COOLING:WATER,Design Size Design Inlet Water Temperature,5
COIL:COOLING:WATER,Design Size Design Outlet Air Humidity Ratio,9
COIL:COOLING:WATER,Design Size Design Outlet Air Temperature,7
COIL:COOLING:WATER,Design Size Design Water Flow Rate,3
COIL:COOLING:WATER,Design Water Flow Rate,3
COIL:COOLING:WATER:DETAILEDGEOMETRY,Coil Depth,8
COIL:COOLING:WATER:DETAILEDGEOMETRY,Design Inlet Water Temperature,25
COIL:COOLING:WATER:DETAILEDGEOMETRY,Design Size Coil Depth,8
COIL:COOLING:WATER:DETAILEDGEOMETRY,Design Size Design Inlet Water Temperature,25
COIL:COOLING:WATER:DETAILEDGEOMETRY,Design Size Fin Diameter,9
COIL:COOLING:WATER:DETAILEDGEOMETRY,Design Size Fin Surface Area,6
COIL:COOLING:WATER:DETAILEDGEOMETRY,Design Size Maximum Water Flow Rate,3
COIL:COOLING:WATER:DETAILEDGEOMETRY,Design Size Minimum Airflow Area,7
COIL:COOLING:WATER:DETAILEDGEOMETRY,Design Size Number of Tubes per Row,18
COIL:COOLING:WATER:DETAILEDGEOMETRY,Design Size Total Tube Inside Area,5
COIL:COOLING:WATER:DETAILEDGEOMETRY,Design Size Tube Outside Surface Area,4
COIL:COOLING:WATER:DETAILEDGEOMETRY,Fin Diameter,9
COIL:COOLING:WATER:DETAILEDGEOMETRY,Fin Surface Area,6
COIL:COOLING:WATER:DETAILEDGEOMETRY,Maximum Water Flow Rate,3
COIL:COOLING:WATER:DETAILEDGEOMETRY,Minimum Airflow Area,7
COIL:COOLING:WATER:DETAILEDGEOMETRY,Number of Tubes per Row,18
COIL:COOLING:WATER:DETAILEDGEOMETRY,Total Tube Inside Area,5
COIL:COOLING:WATER:DETAILEDGEOMETRY,Tube Outside Surface Area,4
COIL:COOLING:WATERTOAIRHEATPUMP:EQUATIONFIT,Design Size Gross Rated Sensible Cooling Capacity,9
COIL:COOLING:WATERTOAIRHEATPUMP:EQUATIONFIT,Design Size Gross Rated Total Cooling Capacity,8
COIL:COOLING:WATERTOAIRHEATPUMP:EQUATIONFIT,Design Size Rated Air Flow Rate,6
COIL:COOLING:WATERTOAIRHEATPUMP:EQUATIONFIT,Design Size Rated Water Flow Rate,7
COIL:COOLING:WATERTOAIRHEATPUMP:EQUATIONFIT,Gross Rated Sensible Cooling Capacity,9
COIL:COOLING:WATERTOAIRHEATPUMP:EQUATIONFIT,Gross Rated Total Cooling Capacity,8
COIL:COOLING:WATERTOAIRHEATPUMP:EQUATIONFIT,Rated Air Flow Rate,6
COIL:COOLING:WATERTOAIRHEATPUMP:EQUATIONFIT,Rated Water Flow Rate,7
COIL:COOLING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Design Size Gross Rated Total Cooling Capacity At Selected Nominal Speed Level,8
COIL:COOLING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Design Size Rated Air Flow Rate At Selected Nominal Speed Level,9
COIL:COOLING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Design Size Rated Water Flow Rate At Selected Nominal Speed Level,10
COIL:COOLING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Gross Rated Total Cooling Capacity At Selected Nominal Speed Level,8
COIL:COOLING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Rated Air Flow Rate At Selected Nominal Speed Level,9
COIL:COOLING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Rated Water Flow Rate At Selected Nominal Speed Level,10
COIL:HEATING:DX:MULTISPEED,Design Size Resistive Defrost Heater Capacity,14
COIL:HEATING:DX:MULTISPEED,Design Size Speed 1 Gross Rated Heating Capacity,19
COIL:HEATING:DX:MULTISPEED,Design Size Speed 1 Rated Air Flow Rate,21
COIL:HEATING:DX:MULTISPEED,Design Size Speed 1 Secondary Coil Air Flow Rate,68
COIL:HEATING:DX:MULTISPEED,Design Size Speed 2 Gross Rated Heating Capacity,31
COIL:HEATING:DX:MULTISPEED,Design Size Speed 2 Rated Air Flow Rate,33
COIL:HEATING:DX:MULTISPEED,Design Size Speed 2 Secondary Coil Air Flow Rate,73
COIL:HEATING:DX:MULTISPEED,Design Size Speed 3 Gross Rated Heating Capacity,43
COIL:HEATING:DX:MULTISPEED,Design Size Speed 3 Rated Air Flow Rate,45
COIL:HEATING:DX:MULTISPEED,Design Size Speed 3 Secondary Coil Air Flow Rate,78
COIL:HEATING:DX:MULTISPEED,Design Size Speed 4 Gross Rated Heating Capacity,55
COIL:HEATING:DX:MULTISPEED,Design Size Speed 4 Rated Air Flow Rate,57
COIL:HEATING:DX:MULTISPEED,Design Size Speed 4 Secondary Coil Air Flow Rate,83
COIL:HEATING:DX:MULTISPEED,Resistive Defrost Heater Capacity,14
COIL:HEATING:DX:MULTISPEED,Speed 1 Gross Rated Heating Capacity,19
COIL:HEATING:DX:MULTISPEED,Speed 1 Rated Air Flow Rate,21
COIL:HEATING:DX:MULTISPEED,Speed 1 Secondary Coil Air Flow Rate,68
COIL:HEATING:DX:MULTISPEED,Speed 2 Gross Rated Heating Capacity,31
COIL:HEATING:DX:MULTISPEED,Speed 2 Rated Air Flow Rate,33
COIL:HEATING:DX:MULTISPEED,Speed 2 Secondary Coil Air Flow Rate,73
COIL:HEATING:DX:MULTISPEED,Speed 3 Gross Rated Heating Capacity,43
COIL:HEATING:DX:MULTISPEED,Speed 3 Rated Air Flow Rate,45
COIL:HEATING:DX:MULTISPEED,Speed 3 Secondary Coil Air Flow Rate,78
COIL:HEATING:DX:MULTISPEED,Speed 4 Gross Rated Heating Capacity,55
COIL:HEATING:DX:MULTISPEED,Speed 4 Rated Air Flow Rate,57
COIL:HEATING:DX:MULTISPEED,Speed 4 Secondary Coil Air Flow Rate,83
COIL:HEATING:DX:SINGLESPEED,Design Size Gross Rated Heating Capacity,3
COIL:HEATING:DX:SINGLESPEED,Design Size Rated Air Flow Rate,5
COIL:HEATING:DX:SINGLESPEED,Design Size Resistive Defrost Heater Capacity,24
COIL:HEATING:DX:SINGLESPEED,Design Size Secondary Coil Air Flow Rate,28
COIL:HEATING:DX:SINGLESPEED,Gross Rated Heating Capacity,3
COIL:HEATING:DX:SINGLESPEED,Rated Air Flow Rate,5
COIL:HEATING:DX:SINGLESPEED,Resistive Defrost Heater Capacity,24
COIL:HEATING:DX:SINGLESPEED,Secondary Coil Air Flow Rate,28
COIL:HEATING:DX:VARIABLEREFRIGERANTFLOW,Design Size Gross Rated Heating Capacity,3
COIL:HEATING:DX:VARIABLEREFRIGERANTFLOW,Design Size Rated Air Flow Rate,4
COIL:HEATING:DX:VARIABLEREFRIGERANTFLOW,Gross Rated Heating Capacity,3
COIL:HEATING:DX:VARIABLEREFRIGERANTFLOW,Rated Air Flow Rate,4
COIL:HEATING:DX:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL,Design Size Rated Total Heating Capacity,5
COIL:HEATING:DX:VARIABLEREFRIGERANTFLOW:FLUIDTEMPERATURECONTROL,Rated Total Heating Capacity,5
COIL:HEATING:DX:VARIABLESPEED,Design Size Rated Air Flow Rate At Selected Nominal Speed Level,7
COIL:HEATING:DX:VARIABLESPEED,Design Size Rated Heating Capacity At Selected Nominal Speed Level,6
COIL:HEATING:DX:VARIABLESPEED,Design Size Resistive Defrost Heater Capacity,18
COIL:HEATING:DX:VARIABLESPEED,Rated Air Flow Rate At Selected Nominal Speed Level,7
COIL:HEATING:DX:VARIABLESPEED,Rated Heating Capacity At Selected Nominal Speed Level,6
COIL:HEATING:DX:VARIABLESPEED,Resistive Defrost Heater Capacity,18
COIL:HEATING:ELECTRIC,Design Size Nominal Capacity,4
COIL:HEATING:ELECTRIC,Nominal Capacity,4
COIL:HEATING:ELECTRIC:MULTISTAGE,Design Size Stage 1 Nominal Capacity,8
COIL:HEATING:ELECTRIC:MULTISTAGE,Design Size Stage 2 Nominal Capacity,10
COIL:HEATING:ELECTRIC:MULTISTAGE,Design Size Stage 3 Nominal Capacity,12
COIL:HEATING:ELECTRIC:MULTISTAGE,Design Size Stage 4 Nominal Capacity,14
COIL:HEATING:ELECTRIC:MULTISTAGE,Stage 1 Nominal Capacity,8
COIL:HEATING:ELECTRIC:MULTISTAGE,Stage 2 Nominal Capacity,10
COIL:HEATING:ELECTRIC:MULTISTAGE,Stage 3 Nominal Capacity,12
COIL:HEATING:ELECTRIC:MULTISTAGE,Stage 4 Nominal Capacity,14
COIL:HEATING:FUEL,Design Size Nominal Capacity,5
COIL:HEATING:FUEL,Nominal Capacity,5
COIL:HEATING:GAS:MULTISTAGE,Design Size Stage 1 Nominal Capacity,10
COIL:HEATING:GAS:MULTISTAGE,Design Size Stage 2 Nominal Capacity,13
COIL:HEATING:GAS:MULTISTAGE,Design Size Stage 3 Nominal Capacity,16
COIL:HEATING:GAS:MULTISTAGE,Design Size Stage 4 Nominal Capacity,19
COIL:HEATING:GAS:MULTISTAGE,Stage 1 Nominal Capacity,10
COIL:HEATING:GAS:MULTISTAGE,Stage 2 Nominal Capacity,13
COIL:HEATING:GAS:MULTISTAGE,Stage 3 Nominal Capacity,16
COIL:HEATING:GAS:MULTISTAGE,Stage 4 Nominal Capacity,19
COIL:HEATING:STEAM,Design Size Maximum Steam Flow Rate,3
COIL:HEATING:STEAM,Maximum Steam Flow Rate,3
COIL:HEATING:WATER,Design Size Maximum Water Flow Rate,4
COIL:HEATING:WATER,Design Size Rated Capacity,10
COIL:HEATING:WATER,Design Size U-Factor Times Area Value,3
COIL:HEATING:WATER,Maximum Water Flow Rate,4
COIL:HEATING:WATER,Rated Capacity,10
COIL:HEATING:WATER,U-Factor Times Area Value,3
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,Design Size Gross Rated Heating Capacity,8
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,Design Size Rated Air Flow Rate,6
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,Design Size Rated Water Flow Rate,7
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,Gross Rated Heating Capacity,8
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,Rated Air Flow Rate,6
COIL:HEATING:WATERTOAIRHEATPUMP:EQUATIONFIT,Rated Water Flow Rate,7
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Design Size Rated Air Flow Rate At Selected Nominal Speed Level,9
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Design Size Rated Heating Capacity At Selected Nominal Speed Level,8
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Design Size Rated Water Flow Rate At Selected Nominal Speed Level,10
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Rated Air Flow Rate At Selected Nominal Speed Level,9
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Rated Heating Capacity At Selected Nominal Speed Level,8
COIL:HEATING:WATERTOAIRHEATPUMP:VARIABLESPEEDEQUATIONFIT,Rated Water Flow Rate At Selected Nominal Speed Level,10
COILPERFORMANCE:DX:COOLING,Design Size Evaporative Condenser Air Flow Rate,19
COILPERFORMANCE:DX:COOLING,Design Size Evaporative Condenser Pump Rated Power Consumption,20
COILPERFORMANCE:DX:COOLING,Design Size Gross Rated Sensible Heat Ratio,3
COILPERFORMANCE:DX:COOLING,Design Size Gross Rated Total Cooling Capacity,2
COILPERFORMANCE:DX:COOLING,Design Size Rated Air Flow Rate,5
COILPERFORMANCE:DX:COOLING,Evaporative Condenser Air Flow Rate,19
COILPERFORMANCE:DX:COOLING,Evaporative Condenser Pump Rated Power Consumption,20
COILPERFORMANCE:DX:COOLING,Gross Rated Sensible Heat Ratio,3
COILPERFORMANCE:DX:COOLING,Gross Rated Total Cooling Capacity,2
COILPERFORMANCE:DX:COOLING,Rated Air Flow Rate,5
CONDENSERLOOP,Design Size Maximum Loop Flow Rate,8
CONDENSERLOOP,Maximum Loop Flow Rate,8
CONTROLLER:OUTDOORAIR,Design Size Maximum Outdoor Air Flow Rate,7
CONTROLLER:OUTDOORAIR,Design Size Minimum Outdoor Air Flow Rate,6
CONTROLLER:OUTDOORAIR,Maximum Outdoor Air Flow Rate,7
CONTROLLER:OUTDOORAIR,Minimum Outdoor Air Flow Rate,6
CONTROLLER:WATERCOIL,Controller Convergence Tolerance,7
CONTROLLER:WATERCOIL,Design Size Controller Convergence Tolerance,7
CONTROLLER:WATERCOIL,Design Size Maximum Actuated Flow,8
CONTROLLER:WATERCOIL,Maximum Actuated Flow,8
COOLINGTOWER:SINGLESPEED,Design Air Flow Rate,5
COOLINGTOWER:SINGLESPEED,Design Approach Temperature,19
COOLINGTOWER:SINGLESPEED,Design Fan Power,6
COOLINGTOWER:SINGLESPEED,Design Range Temperature,20
COOLINGTOWER:SINGLESPEED,Design Size Design Air Flow Rate,5
COOLINGTOWER:SINGLESPEED,Design Size Design Approach Temperature,19
COOLINGTOWER:SINGLESPEED,Design Size Design Fan Power,6
COOLINGTOWER:SINGLESPEED,Design Size Design Range Temperature,20
COOLINGTOWER:SINGLESPEED,Design Size Design U-Factor Times Area Value,7
COOLINGTOWER:SINGLESPEED,Design Size Design Water Flow Rate,4
COOLINGTOWER:SINGLESPEED,Design U-Factor Times Area Value,7
COOLINGTOWER:SINGLESPEED,Design Water Flow Rate,4
COOLINGTOWER:TWOSPEED,Design Approach Temperature,27
COOLINGTOWER:TWOSPEED,Design Range Temperature,28
COOLINGTOWER:TWOSPEED,Design Size Design Approach Temperature,27
COOLINGTOWER:TWOSPEED,Design Size Design Range Temperature,28
COOLINGTOWER:TWOSPEED,Design Size Design Water Flow Rate,4
COOLINGTOWER:TWOSPEED,Design Size High Fan Speed Air Flow Rate,5
COOLINGTOWER:TWOSPEED,Design Size High Fan Speed Fan Power,6
COOLINGTOWER:TWOSPEED,Design Size High Fan Speed U-Factor Times Area Value,7
COOLINGTOWER:TWOSPEED,Design Water Flow Rate,4
COOLINGTOWER:TWOSPEED,High Fan Speed Air Flow Rate,5
COOLINGTOWER:TWOSPEED,High Fan Speed Fan Power,6
COOLINGTOWER:TWOSPEED,High Fan Speed U-Factor Times Area Value,7
COOLINGTOWER:VARIABLESPEED,Design Air Flow Rate,10
COOLINGTOWER:VARIABLESPEED,Design Fan Power,11
COOLINGTOWER:VARIABLESPEED,Design Size Design Air Flow Rate,10
COOLINGTOWER:VARIABLESPEED,Design Size Design Fan Power,11
COOLINGTOWER:VARIABLESPEED,Design Size Design Water Flow Rate,9
COOLINGTOWER:VARIABLESPEED,Design Water Flow Rate,9
COOLINGTOWER:VARIABLESPEED:MERKEL,Design Air Flow Rate U-Factor Times Area Value,19
COOLINGTOWER:VARIABLESPEED:MERKEL,Design Approach Temperature,27
