Name,Parameter,Value
AIRLOOPHVAC:UNITARYHEATCOOL:VAVCHANGEOVERBYPASS,No Load Supply Air Flow Rate,5
AIRLOOPHVAC:UNITARYHEATONLY,Design Size Heating Supply Air Flow Rate,7
AIRLOOPHVAC:UNITARYHEATONLY,Design Size Maximum Supply Air Temperature,6
AIRLOOPHVAC:UNITARYHEATONLY,Heating Supply Air Flow Rate,7
AIRLOOPHVAC:UNITARYHEATONLY,Maximum Supply Air Temperature,6
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR,Cooling Supply Air Flow Rate,5
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR,Design Size Cooling Supply Air Flow Rate,5
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR,Design Size Heating Supply Air Flow Rate,6
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR,Design Size Maximum Supply Air Temperature from Supplemental Heater,17
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR,Design Size No Load Supply Air Flow Rate,7
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR,Heating Supply Air Flow Rate,6
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR,Maximum Supply Air Temperature from Supplemental Heater,17
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR,No Load Supply Air Flow Rate,7
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Cooling Speed 1 Supply Air Flow Rate,32
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Cooling Speed 2 Supply Air Flow Rate,33
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Cooling Speed 3 Supply Air Flow Rate,34
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Cooling Speed 4 Supply Air Flow Rate,35
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Design Size Cooling Speed 1 Supply Air Flow Rate,32
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Design Size Cooling Speed 2 Supply Air Flow Rate,33
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Design Size Cooling Speed 3 Supply Air Flow Rate,34
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Design Size Cooling Speed 4 Supply Air Flow Rate,35
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Design Size Heating Speed 1 Supply Air Flow Rate,28
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Design Size Heating Speed 2 Supply Air Flow Rate,29
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Design Size Heating Speed 3 Supply Air Flow Rate,30
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Design Size Heating Speed 4 Supply Air Flow Rate,31
