Component Type,Input Field Description
AirLoopHVAC:UnitarySystem,User-Specified Maximum Supply Air Temperature
AirTerminal:DualDuct:ConstantVolume,Maximum Air Flow Rate
AirTerminal:DualDuct:VAV:OutdoorAir,Maximum Outdoor Air Flow Rate
AirTerminal:DualDuct:VAV:OutdoorAir,Maximum Recirculated Air Flow Rate
AirTerminal:DualDuct:VAV:OutdoorAir,Maximum Air Flow Rate
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Supply Air Flow Rate
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Coefficient of Induction Kin
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Maximum Total Chilled Water Flow Rate
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Number of Beams
AirTerminal:SingleDuct:ConstantVolume:CooledBeam,Beam Length
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Zone Total Beam Length
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Supply Air Flow Rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Maximum Total Hot Water Flow Rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,Maximum Total Chilled Water Flow Rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeBeam,AirLoopHVAC Design Supply Air Flow Rate Adjustment
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Design Size Maximum Total Air Flow Rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Design Size Inlet Air Temperature
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Design Size Inlet Air Humidity Ratio
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Design Size Maximum Cold Water Flow Rate
AirTerminal:SingleDuct:ConstantVolume:FourPipeInduction,Design Size Maximum Hot Water Flow Rate
AirTerminal:SingleDuct:ConstantVolume:NoReheat,User-Specified Maximum Air Flow Rate
AirTerminal:SingleDuct:ConstantVolume:NoReheat,Design Size Maximum Air Flow Rate
AirTerminal:SingleDuct:ConstantVolume:Reheat,Design Size Reheat Coil Sizing Inlet Air Temperature
AirTerminal:SingleDuct:ConstantVolume:Reheat,Design Size Reheat Coil Sizing Inlet Air Humidity Ratio
AirTerminal:SingleDuct:ConstantVolume:Reheat,Design Size Reheat Coil Sizing Air Volume Flow Rate
AirTerminal:SingleDuct:ConstantVolume:Reheat,Design Size Maximum Reheat Water Flow Rate
AirTerminal:SingleDuct:ConstantVolume:Reheat,Design Size Maximum Air Flow Rate
AirTerminal:SingleDuct:ConstantVolume:Reheat,User-Specified Maximum Air Flow Rate
