skip,cohort
,Htl&0&cDXGF&Ex&etc
,Htl&0&cDXHP&Ex&etc
,Htl&0&cDXOH&Ex&etc
,Htl&0&cAVVG&Ex&etc
,Htl&0&cPVVG&Ex&etc
