skip,case_name,:dhw_gas_dhw_loop_configuration,:guestroom_dhw_loop_configuration,:laundry_dhw_loop_configuration,:office_large_dhw_loop_configuration,:dhw_gas_case_configuration,:dhw_gas_schedule_file_path,:dhw_gas_deadband_temperature,:dhw_gas_pipe_inside_diameter,:dhw_gas_pipe_length,:dhw_gas_peak_flow_rate,:hw_pump_head,:dhw_gas_water_heater_temperature_control,:residentialliving_dhw_sch
,NG-WaterHtg_eq-FlowCtrl-Full-RecircLoop-Std,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,BASE,,0.5,0.01905,152.4,2.41E-04,0,CONSTANT,"Through: 12/31,\nFor: AllDays,\nUntil: 01:00, 0.0192  ,\nUntil: 02:00,  0.0092  ,\nUntil: 03:00,  0.0064   ,\nUntil: 04:00,  0.0079   ,\nUntil: 05:00,  0.0168   ,\nUntil: 06:00,  0.0549   ,\nUntil: 07:00,  0.1260   ,\nUntil: 08:00,  0.1409   ,\nUntil: 09:00,  0.1284   ,\nUntil: 10:00,  0.1083   ,\nUntil: 11:00,  0.0901   ,\nUntil: 12:00,  0.0756   ,\nUntil: 13:00,   0.0643  ,\nUntil: 14:00,   0.0563  ,\nUntil: 15:00,  0.0527   ,\nUntil: 16:00,  0.0506   ,\nUntil: 17:00,  0.0621   ,\nUntil: 18:00,  0.0816   ,\nUntil: 19:00,  0.0964   ,\nUntil: 20:00,   0.0968  ,\nUntil: 21:00,   0.0888  ,\nUntil: 22:00,  0.0777   ,\nUntil: 23:00,   0.0612  ,\nUntil: 24:00,  0.0413  ;"
,NG-WaterHtg_eq-FlowCtrl-Full-RecircLoop-Msr,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,MEASURE,..\\..\\..\\..\\..\\schedule_Htl.csv,0.5,0.01905,152.4,2.41E-04,0,CONSTANT,"Through: 12/31,\nFor: AllDays,\nUntil: 01:00, 0.0192  ,\nUntil: 02:00,  0.0092  ,\nUntil: 03:00,  0.0064   ,\nUntil: 04:00,  0.0079   ,\nUntil: 05:00,  0.0168   ,\nUntil: 06:00,  0.0549   ,\nUntil: 07:00,  0.1260   ,\nUntil: 08:00,  0.1409   ,\nUntil: 09:00,  0.1284   ,\nUntil: 10:00,  0.1083   ,\nUntil: 11:00,  0.0901   ,\nUntil: 12:00,  0.0756   ,\nUntil: 13:00,   0.0643  ,\nUntil: 14:00,   0.0563  ,\nUntil: 15:00,  0.0527   ,\nUntil: 16:00,  0.0506   ,\nUntil: 17:00,  0.0621   ,\nUntil: 18:00,  0.0816   ,\nUntil: 19:00,  0.0964   ,\nUntil: 20:00,   0.0968  ,\nUntil: 21:00,   0.0888  ,\nUntil: 22:00,  0.0777   ,\nUntil: 23:00,   0.0612  ,\nUntil: 24:00,  0.0413  ;"
#,NG-WaterHtg_eq-TempCtrl-Full-RecircLoop-Std,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,BASE,,0.5,0.01905,152.4,2.41E-04,0,CONSTANT,"Through: 12/31,\nFor: AllDays,\nUntil: 01:00, 0.0192  ,\nUntil: 02:00,  0.0092  ,\nUntil: 03:00,  0.0064   ,\nUntil: 04:00,  0.0079   ,\nUntil: 05:00,  0.0168   ,\nUntil: 06:00,  0.0549   ,\nUntil: 07:00,  0.1260   ,\nUntil: 08:00,  0.1409   ,\nUntil: 09:00,  0.1284   ,\nUntil: 10:00,  0.1083   ,\nUntil: 11:00,  0.0901   ,\nUntil: 12:00,  0.0756   ,\nUntil: 13:00,   0.0643  ,\nUntil: 14:00,   0.0563  ,\nUntil: 15:00,  0.0527   ,\nUntil: 16:00,  0.0506   ,\nUntil: 17:00,  0.0621   ,\nUntil: 18:00,  0.0816   ,\nUntil: 19:00,  0.0964   ,\nUntil: 20:00,   0.0968  ,\nUntil: 21:00,   0.0888  ,\nUntil: 22:00,  0.0777   ,\nUntil: 23:00,   0.0612  ,\nUntil: 24:00,  0.0413  ;"
#,NG-WaterHtg_eq-TempCtrl-Full-RecircLoop-Msr,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,BASE,,0.5,0.01905,152.4,2.41E-04,0,SCHEDULED,"Through: 12/31,\nFor: AllDays,\nUntil: 01:00, 0.0192  ,\nUntil: 02:00,  0.0092  ,\nUntil: 03:00,  0.0064   ,\nUntil: 04:00,  0.0079   ,\nUntil: 05:00,  0.0168   ,\nUntil: 06:00,  0.0549   ,\nUntil: 07:00,  0.1260   ,\nUntil: 08:00,  0.1409   ,\nUntil: 09:00,  0.1284   ,\nUntil: 10:00,  0.1083   ,\nUntil: 11:00,  0.0901   ,\nUntil: 12:00,  0.0756   ,\nUntil: 13:00,   0.0643  ,\nUntil: 14:00,   0.0563  ,\nUntil: 15:00,  0.0527   ,\nUntil: 16:00,  0.0506   ,\nUntil: 17:00,  0.0621   ,\nUntil: 18:00,  0.0816   ,\nUntil: 19:00,  0.0964   ,\nUntil: 20:00,   0.0968  ,\nUntil: 21:00,   0.0888  ,\nUntil: 22:00,  0.0777   ,\nUntil: 23:00,   0.0612  ,\nUntil: 24:00,  0.0413  ;"
#,NG-WaterHtg_eq-FlowTempCtrl-Full-RecircLoop-Std,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,BASE,,0.5,0.01905,152.4,2.41E-04,0,CONSTANT,"Through: 12/31,\nFor: AllDays,\nUntil: 01:00, 0.0192  ,\nUntil: 02:00,  0.0092  ,\nUntil: 03:00,  0.0064   ,\nUntil: 04:00,  0.0079   ,\nUntil: 05:00,  0.0168   ,\nUntil: 06:00,  0.0549   ,\nUntil: 07:00,  0.1260   ,\nUntil: 08:00,  0.1409   ,\nUntil: 09:00,  0.1284   ,\nUntil: 10:00,  0.1083   ,\nUntil: 11:00,  0.0901   ,\nUntil: 12:00,  0.0756   ,\nUntil: 13:00,   0.0643  ,\nUntil: 14:00,   0.0563  ,\nUntil: 15:00,  0.0527   ,\nUntil: 16:00,  0.0506   ,\nUntil: 17:00,  0.0621   ,\nUntil: 18:00,  0.0816   ,\nUntil: 19:00,  0.0964   ,\nUntil: 20:00,   0.0968  ,\nUntil: 21:00,   0.0888  ,\nUntil: 22:00,  0.0777   ,\nUntil: 23:00,   0.0612  ,\nUntil: 24:00,  0.0413  ;"
#,NG-WaterHtg_eq-FlowTempCtrl-Full-RecircLoop-Msr,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,MEASURE,..\\..\\..\\..\\..\\schedule_Htl.csv,0.5,0.01905,152.4,2.41E-04,0,SCHEDULED,"Through: 12/31,\nFor: AllDays,\nUntil: 01:00, 0.0192  ,\nUntil: 02:00,  0.0092  ,\nUntil: 03:00,  0.0064   ,\nUntil: 04:00,  0.0079   ,\nUntil: 05:00,  0.0168   ,\nUntil: 06:00,  0.0549   ,\nUntil: 07:00,  0.1260   ,\nUntil: 08:00,  0.1409   ,\nUntil: 09:00,  0.1284   ,\nUntil: 10:00,  0.1083   ,\nUntil: 11:00,  0.0901   ,\nUntil: 12:00,  0.0756   ,\nUntil: 13:00,   0.0643  ,\nUntil: 14:00,   0.0563  ,\nUntil: 15:00,  0.0527   ,\nUntil: 16:00,  0.0506   ,\nUntil: 17:00,  0.0621   ,\nUntil: 18:00,  0.0816   ,\nUntil: 19:00,  0.0964   ,\nUntil: 20:00,   0.0968  ,\nUntil: 21:00,   0.0888  ,\nUntil: 22:00,  0.0777   ,\nUntil: 23:00,   0.0612  ,\nUntil: 24:00,  0.0413  ;"
#,defaults,DEFAULT-LOOP,DEFAULT-LOOP,DEFAULT-LOOP,DEFAULT-LOOP,,,,,,,,,
,,,,,,,,,,,,,,
# the first two items are for 015 and the seocnd two are for 016,,,,,,,,,,,,,,
