skip,case_name,sizing_case,:disable_ems,:heat_sizing_factor,:cool_sizing_factor,:main_hvac_type,:main_heat_coil_type,:main_heat_coil_eff,:main_heat_coil_cop,:main_fan_motor_eff,:main_heat_flow_frac,:main_fan_speed,:main_cool_coil_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:classroom_class_setpoint_temp_schedule
,NE-HV_Tech-OccSens-cDXGF,,TRUE,1.25,1.15,SZ-CAV,COMBUSTION,0.81,,0.87,1,CONSTANT,DX-AIR,4.11,CONSTANT,NONE,nil,3.877['in H2O'],PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,Schedule_Primary.csv
,NE-HV_Tech-OccSens-cDXGF-NoOccSens,,TRUE,1.25,1.15,SZ-CAV,COMBUSTION,0.81,,0.87,1,CONSTANT,DX-AIR,4.11,CONSTANT,NONE,nil,3.877['in H2O'],PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,
