skip,case_name,sizing_case,:disable_ems,:heat_sizing_factor,:cool_sizing_factor,:main_hvac_type,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_heat_coil_type,:main_heat_coil_eff,:main_heat_coil_cop,:main_cool_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_fan_speed,:main_fan_motor_eff,:classroom_class_setpoint_temp_schedule
,NE-HV_Tech-OccSens-cDXHP,NE-HV_Tech-OccSens-cDXHP-NoOccSens,TRUE,1.25,1.15,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,3.2,,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.13,CONSTANT,CONSTANT,0.87,Schedule_Secondary.csv
,NE-HV_Tech-OccSens-cDXHP-NoOccSens,,TRUE,1.25,1.15,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,3.2,,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.13,CONSTANT,CONSTANT,0.87,
