File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Site Energy,Net Source EUI,Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Water Systems NG,Electricity,Natural Gas,Unmet Heating,Unmet Cooling,Electricity:Facility [J](Hourly)
runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-EvapCond/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,258.36,1200062.97,771.8,3584908.81,1200062.96,129310.95,79533.6,249218.65,0.0,177584.03,0.0,156573.45,3.38,0.0,0.0,0.0,55295.02,352543.88,0.0,0.0,79533.6,129310.95,0.0,177584.03,0.0,55295.02,1015456.99,184605.97,0.0,0.0,749662333.0412872
runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-AirCond/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,463.9,2154736.28,1460.69,6784703.61,2154736.2800000003,122896.53,72913.68,249218.65,0.0,177584.03,0.0,163393.99,3.38,0.0,0.0,0.0,56831.16,1311894.87,0.0,0.0,72913.68,122896.53,0.0,177584.03,0.0,56831.16,1975008.6,179727.68,0.0,0.0,1364521947.9102883
runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond,467.04,2169350.99,1470.76,6831496.82,2169350.9899999998,125312.9,80779.57,249218.65,0.0,177584.03,0.0,156386.81,3.38,0.0,0.0,0.0,55295.69,1324769.95,0.0,0.0,80779.57,125312.9,0.0,177584.03,0.0,55295.69,1988742.4,180608.59,0.0,0.0,1410462096.6510074
runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-AirCond/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,459.63,2134929.47,1444.04,6707362.94,2134929.47,129310.95,79533.6,249218.65,0.0,177584.03,0.0,156573.45,3.38,0.0,0.0,0.0,55295.02,1287410.39,0.0,0.0,79533.6,129310.95,0.0,177584.03,0.0,55295.02,1950323.5,184605.97,0.0,0.0,1398877729.3717117
runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond,262.29,1218317.49,786.9,3655044.9,1218317.48,125312.9,80779.57,249218.65,0.0,177584.03,0.0,156386.81,3.38,0.0,0.0,0.0,55295.69,373736.44,0.0,0.0,80779.57,125312.9,0.0,177584.03,0.0,55295.69,1037708.89,180608.59,0.0,0.0,761471742.2696586
runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,330.71,1536118.11,1032.72,4796827.66,1536118.1099999999,86624.19,65422.36,249218.65,0.0,177584.03,0.0,159272.97,3.38,0.0,0.0,0.0,58952.27,739040.26,0.0,0.0,65422.36,86624.19,0.0,177584.03,0.0,58952.27,1390541.65,145576.46,0.0,0.0,988699421.2120502
runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-AirCond/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,434.25,2017027.35,1344.11,6243236.97,2017027.35,156326.57,47827.8,249218.65,0.0,177584.03,0.0,155417.27,3.38,0.0,0.0,0.0,58952.27,1171697.38,0.0,0.0,47827.8,156326.57,0.0,177584.03,0.0,58952.27,1801748.51,215278.84,0.0,0.0,1315078982.1950068
runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond,262.43,1218967.66,772.6,3588625.62,1218967.67,151569.48,48754.72,249218.65,0.0,177584.03,0.0,155274.47,3.38,0.0,0.0,0.0,58952.27,377610.65,0.0,0.0,48754.72,151569.48,0.0,177584.03,0.0,58952.27,1008445.92,210521.75,0.0,0.0,682525014.9205754
runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond,242.26,1125264.36,737.28,3424576.15,1125264.36,86624.19,65422.36,249218.65,0.0,177584.03,0.0,159272.97,3.38,0.0,0.0,0.0,58952.27,328186.52,0.0,0.0,65422.36,86624.19,0.0,177584.03,0.0,58952.27,979687.9,145576.46,0.0,0.0,699561525.2989006
runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-EvapCond/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,258.74,1201803.53,757.91,3520389.4,1201803.53,156326.57,47827.8,249218.65,0.0,177584.03,0.0,155417.27,3.38,0.0,0.0,0.0,58952.27,356473.56,0.0,0.0,47827.8,156326.57,0.0,177584.03,0.0,58952.27,986524.69,215278.84,0.0,0.0,671545467.1852877
