skip,case_name,:heat_type,:combi,:system_type,:cooling_coil_cop,:heating_coil_cop
,RE-HV-PTHP-10.70EER-3.13COP,DX,,PTHP,3.14,3.128
,RE-HV-PTHP-12.84EER-3.76COP,DX,,PTHP,3.76,3.75
