skip,case_name,:heat_type,:combi,:system_type,:cooling_coil_cop,:heating_coil_cop
,RE-HV-PTAC-10.70EER,,,PTAC,3.14,
,RE-HV-PTAC-12.84EER,,,PTAC,3.76,
