skip,case_name,:total_leakage_ratio,:return_leakage_frac
,RB-HV_AirDist-DuctLeak-rDXGF-Seal-35pct,0.35,
,RB-HV_AirDist-DuctLeak-rDXGF-Seal-25pct,0.25,
,RB-HV_AirDist-DuctLeak-rDXGF-Seal-15pct,0.15,
