skip,case_name,:main_oa_frac_max_sch,:hvac_config,:main_hvac_type,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_cool_coil_type,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac,:chw_num_chillers,:chw_chiller_cop,:chw_chiller_model,:chw_pump_type,:chw_chiller_condenser,:hw_boiler_eff,:main_swsv005_04_BC,:main_oa_frac_sch
,NE-HV_AirDist-cDXGF,"Through: 12/31,\n  For: AllDays,\n  Until: 24:00, .7;",,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.9,CONSTANT,,,CONSTANT,0.89,,0.81,1,,,,,,,,
,NE-HV_AirDist-AirEcono-cDXGF-FailClosd,,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,NONE,3.9,CONSTANT,,,CONSTANT,0.89,,0.81,1,,,,,,,True,"Through: 12/31,\nFor: SummerDesignDay WinterDesignDay,\nUntil: 24:00,0.2,\nFor: Weekdays,\nUntil: 05:00,0.2,\nUntil: 24:00,0.2,\nFor: Saturday,\nUntil: 05:00,0.2,\nUntil: 19:00,0.2,\nUntil: 24:00,0.2,\nFor: AllOtherDays,\nUntil: 24:00,0.2;"
,NE-HV_AirDist-AirEcono-cDXGF-FailPOpn,,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,COMBUSTION,PNNL,FLOATING,95['F'],NONCOINCIDENT,NONE,3.9,CONSTANT,,,CONSTANT,0.89,,0.81,1,,,,,,,True,"Through: 12/31,\nFor: SummerDesignDay WinterDesignDay,\nUntil: 24:00,0.3,\nFor: Weekdays,\nUntil: 05:00,0.3,\nUntil: 24:00,0.3,\nFor: Saturday,\nUntil: 05:00,0.3,\nUntil: 19:00,0.3,\nUntil: 24:00,0.3,\nFor: AllOtherDays,\nUntil: 24:00,0.3;"
