skip,cohort
,Asm&0&cDXGF&Ex&HV_AirDist
,ECC&0&cDXGF&Ex&HV_AirDist
,EPr&0&cDXGF&Ex&HV_AirDist
,ERC&0&cDXGF&Ex&HV_AirDist
,ESe&0&cDXGF&Ex&HV_AirDist
,EUn&0&cDXGF&Ex&HV_AirDist
,Gro&0&cDXGF&Ex&HV_AirDist
,Hsp&0&cDXGF&Ex&HV_AirDist
,MBT&0&cDXGF&Ex&HV_AirDist
,MLI&0&cDXGF&Ex&HV_AirDist
,Mtl&0&cDXGF&Ex&HV_AirDist
,Nrs&0&cDXGF&Ex&HV_AirDist
,OfL&0&cDXGF&Ex&HV_AirDist
,OfS&0&cDXGF&Ex&HV_AirDist
,RFF&0&cDXGF&Ex&HV_AirDist
,RSD&0&cDXGF&Ex&HV_AirDist
,Rt3&0&cDXGF&Ex&HV_AirDist
,RtL&0&cDXGF&Ex&HV_AirDist
,RtS&0&cDXGF&Ex&HV_AirDist
,SCn&0&cDXGF&Ex&HV_AirDist
,Asm&0&cDXHP&Ex&HV_AirDist
,ECC&0&cDXHP&Ex&HV_AirDist
,EPr&0&cDXHP&Ex&HV_AirDist
,ERC&0&cDXHP&Ex&HV_AirDist
,ESe&0&cDXHP&Ex&HV_AirDist
,EUn&0&cDXHP&Ex&HV_AirDist
,Gro&0&cDXHP&Ex&HV_AirDist
,Hsp&0&cDXHP&Ex&HV_AirDist
,MBT&0&cDXHP&Ex&HV_AirDist
,MLI&0&cDXHP&Ex&HV_AirDist
,Mtl&0&cDXHP&Ex&HV_AirDist
,Nrs&0&cDXHP&Ex&HV_AirDist
,OfL&0&cDXHP&Ex&HV_AirDist
,OfS&0&cDXHP&Ex&HV_AirDist
,RFF&0&cDXHP&Ex&HV_AirDist
,RSD&0&cDXHP&Ex&HV_AirDist
,Rt3&0&cDXHP&Ex&HV_AirDist
,RtL&0&cDXHP&Ex&HV_AirDist
,RtS&0&cDXHP&Ex&HV_AirDist
,SCn&0&cDXHP&Ex&HV_AirDist
,Asm&0&cDXOH&Ex&HV_AirDist
,ECC&0&cDXOH&Ex&HV_AirDist
,EPr&0&cDXOH&Ex&HV_AirDist
,ERC&0&cDXOH&Ex&HV_AirDist
,ESe&0&cDXOH&Ex&HV_AirDist
,EUn&0&cDXOH&Ex&HV_AirDist
,Gro&0&cDXOH&Ex&HV_AirDist
,Hsp&0&cDXOH&Ex&HV_AirDist
,MBT&0&cDXOH&Ex&HV_AirDist
,MLI&0&cDXOH&Ex&HV_AirDist
,Mtl&0&cDXOH&Ex&HV_AirDist
,Nrs&0&cDXOH&Ex&HV_AirDist
,OfL&0&cDXOH&Ex&HV_AirDist
,OfS&0&cDXOH&Ex&HV_AirDist
,RFF&0&cDXOH&Ex&HV_AirDist
,RSD&0&cDXOH&Ex&HV_AirDist
,Rt3&0&cDXOH&Ex&HV_AirDist
,RtL&0&cDXOH&Ex&HV_AirDist
,RtS&0&cDXOH&Ex&HV_AirDist
,SCn&0&cDXOH&Ex&HV_AirDist
