File,Bldg,CZ,TechID,MappedRun,srcHeat,srcCool,srcFan,fileHeat,fileCool,fileFan,MATCH
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC AOE,WEIGHTED: LRM AOE LSC R22 R410a rDXHP Base | LRM AOE LSC R22 R410a rDXHP Base,4588.5292,112.522,492.9096,4588.5292,112.522,492.9096,Y
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC NR,WEIGHTED: LRM NR LSC R32 R454b rDXHP Base | LRM NR LSC R32 R454b rDXHP Base,3804.2456,101.5172,492.9096,3804.2456,101.5172,492.9096,Y
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC NC,WEIGHTED: LRM NR LSC R32 R454b rDXHP Base | LRM NR LSC R32 R454b rDXHP Base,3804.2456,101.5172,492.9096,3804.2456,101.5172,492.9096,Y
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15% UC AOE,WEIGHTED: LRM AOE +15% RCA LSC R22 R410a rDXHP Base | LRM AOE +15% RCA LSC R22 R410a rDXHP Base,5088.556,159.7712,492.9096,5088.556,159.7712,492.9096,Y
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15% UC AOE,WEIGHTED: LRM AOE +15% RCA LSC R22 R410a rDXHP Base | LRM AOE +15% RCA LSC R22 R410a rDXHP Base,5088.556,159.7712,492.9096,5088.556,159.7712,492.9096,Y
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5% UC AOE,WEIGHTED: LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base | LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,5391.1216,202.166,492.9096,5391.1216,202.166,492.9096,Y
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5% UC AOE,WEIGHTED: LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base | LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,5391.1216,202.166,492.9096,5391.1216,202.166,492.9096,Y
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30% UC AOE,WEIGHTED: LRM AOE +30% RCA LSC R22 R410a rDXHP Base | LRM AOE +30% RCA LSC R22 R410a rDXHP Base,5742.568,275.1844,492.9096,5742.568,275.1844,492.9096,Y
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30% UC AOE,WEIGHTED: LRM AOE +30% RCA LSC R22 R410a rDXHP Base | LRM AOE +30% RCA LSC R22 R410a rDXHP Base,5742.568,275.1844,492.9096,5742.568,275.1844,492.9096,Y
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40% UC AOE,WEIGHTED: LRM AOE +40% RCA LSC R22 R410a rDXHP Base | LRM AOE +40% RCA LSC R22 R410a rDXHP Base,6298.2844,530.848,492.9096,6298.2844,530.848,492.9096,Y
UEC_kWhBase.csv,SFm,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40% UC AOE,WEIGHTED: LRM AOE +40% RCA LSC R22 R410a rDXHP Base | LRM AOE +40% RCA LSC R22 R410a rDXHP Base,6298.2844,530.848,492.9096,6298.2844,530.848,492.9096,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5% UC AOE,WEIGHTED: LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base | LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,0.0,1907.8252,833.4944,0.0,1907.8252,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5% UC AOE,WEIGHTED: LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base | LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,0.0,1907.8252,833.4944,0.0,1907.8252,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC AOE,WEIGHTED: LRM AOE LSC R22 R410a rDXGF Base | LRM AOE LSC R22 R410a rDXGF Base,0.0,1626.88,833.4944,0.0,1626.88,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC AOE,WEIGHTED: LRM AOE LSC R22 R410a rDXGF Base | LRM AOE LSC R22 R410a rDXGF Base,0.0,1626.88,833.4944,0.0,1626.88,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC NR,WEIGHTED: LRM NR LSC R454b rDXGF Base | LRM NR LSC R454b rDXGF Base,0.0,1466.1964,833.4944,0.0,1466.1964,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC NC,WEIGHTED: LRM NR LSC R454b rDXGF Base | LRM NR LSC R454b rDXGF Base,0.0,1466.1964,833.4944,0.0,1466.1964,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15% UC AOE,WEIGHTED: LRM AOE +15% RCA LSC R22 R410a rDXGF Base | LRM AOE +15% RCA LSC R22 R410a rDXGF Base,0.0,2306.0592,833.4944,0.0,2306.0592,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15% UC AOE,WEIGHTED: LRM AOE +15% RCA LSC R22 R410a rDXGF Base | LRM AOE +15% RCA LSC R22 R410a rDXGF Base,0.0,2306.0592,833.4944,0.0,2306.0592,833.4944,Y
