PA,bldgtype,bldgloc,bldghvac,wtval
Any,DMo,CZ09,rDXOH,642.0
Any,DMo,CZ09,rDXWP,0.01
Any,DMo,CZ09,rEVEF,0.01
Any,DMo,CZ09,rEVEH,0.01
Any,DMo,CZ09,rEVGF,0.01
Any,DMo,CZ09,rEVOH,0.01
Any,DMo,CZ09,rNCEF ,0.01
Any,DMo,CZ09,rNCEH,0.01
Any,DMo,CZ09,rNCGF,149.1
Any,DMo,CZ09,rNCOH,7575.0
Any,DMo,CZ10,rDXEF,807.2
Any,DMo,CZ10,rDXEH,1830.0
Any,DMo,CZ10,rDXGF,23504.1
Any,DMo,CZ10,rDXHP,364.2
Any,DMo,CZ10,rDXHW,0.01
Any,DMo,CZ10,rDXOH,1710.9
Any,DMo,CZ10,rDXWP,0.01
Any,DMo,CZ10,rEVEF,0.01
Any,DMo,CZ10,rEVEH,0.01
Any,DMo,CZ10,rEVGF,320.1
Any,DMo,CZ10,rEVOH,8285.4
Any,DMo,CZ10,rNCEF ,98.2
Any,DMo,CZ10,rNCEH,0.01
Any,DMo,CZ10,rNCGF,636.5
Any,DMo,CZ10,rNCOH,1437.2
Any,DMo,CZ11,rDXEF,331.4
Any,DMo,CZ11,rDXEH,43.7
Any,DMo,CZ11,rDXGF,847.2
Any,DMo,CZ11,rDXHP,533.1
Any,DMo,CZ11,rDXHW,0.01
Any,DMo,CZ11,rDXOH,4046.3
Any,DMo,CZ11,rDXWP,0.01
Any,DMo,CZ11,rEVEF,0.01
Any,DMo,CZ11,rEVEH,0.01
Any,DMo,CZ11,rEVGF,3905.4
Any,DMo,CZ11,rEVOH,4792.0
Any,DMo,CZ11,rNCEF ,0.01
Any,DMo,CZ11,rNCEH,0.01
Any,DMo,CZ11,rNCGF,44.1
Any,DMo,CZ11,rNCOH,9584.0
Any,DMo,CZ12,rDXEF,374.6
Any,DMo,CZ12,rDXEH,0.01
Any,DMo,CZ12,rDXGF,7804.5
Any,DMo,CZ12,rDXHP,640.6
Any,DMo,CZ12,rDXHW,0.01
Any,DMo,CZ12,rDXOH,2931.9
Any,DMo,CZ12,rDXWP,0.01
Any,DMo,CZ12,rEVEF,0.01
Any,DMo,CZ12,rEVEH,51.6
Any,DMo,CZ12,rEVGF,209.3
Any,DMo,CZ12,rEVOH,651.8
Any,DMo,CZ12,rNCEF ,0.01
Any,DMo,CZ12,rNCEH,0.01
Any,DMo,CZ12,rNCGF,74.1
Any,DMo,CZ12,rNCOH,1049.6
Any,DMo,CZ13,rDXEF,66.1
Any,DMo,CZ13,rDXEH,0.01
Any,DMo,CZ13,rDXGF,1786.0
Any,DMo,CZ13,rDXHP,0.01
Any,DMo,CZ13,rDXHW,193.6
Any,DMo,CZ13,rDXOH,9774.4
Any,DMo,CZ13,rDXWP,0.01
Any,DMo,CZ13,rEVEF,0.01
Any,DMo,CZ13,rEVEH,0.01
Any,DMo,CZ13,rEVGF,3661.6
Any,DMo,CZ13,rEVOH,15330.1
