PA,bldgtype,bldgloc,bldghvac,wtval
Any,SFm,CZ10,rDXHP,20238.6
Any,SFm,CZ10,rDXHW,4107.8
Any,SFm,CZ10,rDXOH,56991.8
Any,SFm,CZ10,rDXWP,0.01
Any,SFm,CZ10,rEVEF,298.5
Any,SFm,CZ10,rEVEH,72.4
Any,SFm,CZ10,rEVGF,3595.4
Any,SFm,CZ10,rEVOH,6342.4
Any,SFm,CZ10,rNCEF ,1777.9
Any,SFm,CZ10,rNCEH,2348.3
Any,SFm,CZ10,rNCGF,14961.2
Any,SFm,CZ10,rNCOH,20810.7
Any,SFm,CZ11,rDXEF,31625.2
Any,SFm,CZ11,rDXEH,466.7
Any,SFm,CZ11,rDXGF,168404.0
Any,SFm,CZ11,rDXHP,15446.8
Any,SFm,CZ11,rDXHW,0.01
Any,SFm,CZ11,rDXOH,68472.1
Any,SFm,CZ11,rDXWP,0.01
Any,SFm,CZ11,rEVEF,90.7
Any,SFm,CZ11,rEVEH,45.6
Any,SFm,CZ11,rEVGF,262.9
Any,SFm,CZ11,rEVOH,5966.8
Any,SFm,CZ11,rNCEF ,65.7
Any,SFm,CZ11,rNCEH,261.6
Any,SFm,CZ11,rNCGF,94.4
Any,SFm,CZ11,rNCOH,21160.6
Any,SFm,CZ12,rDXEF,113188.0
Any,SFm,CZ12,rDXEH,7768.2
Any,SFm,CZ12,rDXGF,770005.0
Any,SFm,CZ12,rDXHP,40823.7
Any,SFm,CZ12,rDXHW,12258.0
Any,SFm,CZ12,rDXOH,89344.9
Any,SFm,CZ12,rDXWP,0.01
Any,SFm,CZ12,rEVEF,609.4
Any,SFm,CZ12,rEVEH,0.01
Any,SFm,CZ12,rEVGF,1155.6
Any,SFm,CZ12,rEVOH,2744.2
Any,SFm,CZ12,rNCEF ,7421.8
Any,SFm,CZ12,rNCEH,550.3
Any,SFm,CZ12,rNCGF,29343.4
Any,SFm,CZ12,rNCOH,53055.1
Any,SFm,CZ13,rDXEF,49086.5
Any,SFm,CZ13,rDXEH,11918.2
Any,SFm,CZ13,rDXGF,297653.0
Any,SFm,CZ13,rDXHP,14616.9
Any,SFm,CZ13,rDXHW,1220.9
Any,SFm,CZ13,rDXOH,63354.0
Any,SFm,CZ13,rDXWP,0.01
Any,SFm,CZ13,rEVEF,0.01
Any,SFm,CZ13,rEVEH,34.0
Any,SFm,CZ13,rEVGF,8654.3
Any,SFm,CZ13,rEVOH,19680.3
Any,SFm,CZ13,rNCEF ,0.01
Any,SFm,CZ13,rNCEH,117.6
Any,SFm,CZ13,rNCGF,27038.3
Any,SFm,CZ13,rNCOH,30507.0
Any,SFm,CZ14,rDXEF,3868.2
Any,SFm,CZ14,rDXEH,169.9
Any,SFm,CZ14,rDXGF,140644.0
Any,SFm,CZ14,rDXHP,4702.3
Any,SFm,CZ14,rDXHW,0.01
Any,SFm,CZ14,rDXOH,46792.0
Any,SFm,CZ14,rDXWP,0.01
Any,SFm,CZ14,rEVEF,600.8
Any,SFm,CZ14,rEVEH,284.6
Any,SFm,CZ14,rEVGF,14497.9
Any,SFm,CZ14,rEVOH,9073.2
Any,SFm,CZ14,rNCEF ,0.01
Any,SFm,CZ14,rNCEH,242.8
Any,SFm,CZ14,rNCGF,1698.1
Any,SFm,CZ14,rNCOH,11750.7
Any,SFm,CZ15,rDXEF,4314.6
Any,SFm,CZ15,rDXEH,653.3
Any,SFm,CZ15,rDXGF,64102.7
Any,SFm,CZ15,rDXHP,3403.0
Any,SFm,CZ15,rDXHW,0.01
Any,SFm,CZ15,rDXOH,5180.9
Any,SFm,CZ15,rDXWP,0.01
Any,SFm,CZ15,rEVEF,403.6
Any,SFm,CZ15,rEVEH,0.01
Any,SFm,CZ15,rEVGF,0.01
Any,SFm,CZ15,rEVOH,185.4
Any,SFm,CZ15,rNCEF ,0.01
Any,SFm,CZ15,rNCEH,0.01
Any,SFm,CZ15,rNCGF,1077.2
Any,SFm,CZ15,rNCOH,926.3
Any,SFm,CZ16,rDXEF,891.4
Any,SFm,CZ16,rDXEH,192.7
Any,SFm,CZ16,rDXGF,42002.7
Any,SFm,CZ16,rDXHP,861.6
Any,SFm,CZ16,rDXHW,0.01
Any,SFm,CZ16,rDXOH,20198.1
Any,SFm,CZ16,rDXWP,0.01
Any,SFm,CZ16,rEVEF,0.01
Any,SFm,CZ16,rEVEH,27.5
Any,SFm,CZ16,rEVGF,353.6
Any,SFm,CZ16,rEVOH,2233.0
Any,SFm,CZ16,rNCEF ,94.3
Any,SFm,CZ16,rNCEH,7621.9
Any,SFm,CZ16,rNCGF,3703.5
Any,SFm,CZ16,rNCOH,4775.1
