File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Value/Program Version and Build,Value/Weather File,Area/Conditioned Total,Electricity Intensity/HVAC,Natural Gas Intensity/HVAC,Electricity/Heating,Electricity/Cooling,Electricity/Interior Lighting,Electricity/Exterior Lighting,Electricity/Interior Equipment,Electricity/Exterior Equipment,Electricity/Fans,Electricity/Pumps,Electricity/Heat Rejection,Electricity/Humidification,Electricity/Heat Recovery,Electricity/Water Systems,Electricity/Refrigeration,Electricity/Generators,Electricity/Total End Uses,Natural Gas/Heating,Natural Gas/Cooling,Natural Gas/Interior Lighting,Natural Gas/Exterior Lighting,Natural Gas/Interior Equipment,Natural Gas/Exterior Equipment,Natural Gas/Fans,Natural Gas/Pumps,Natural Gas/Heat Rejection,Natural Gas/Humidification,Natural Gas/Heat Recovery,Natural Gas/Water Systems,Natural Gas/Refrigeration,Natural Gas/Generators,Natural Gas/Total End Uses,Unmet Heating,Unmet Cooling,Area/CLASSROOM G.E1,Area/CLASSROOM G.NNE2,Area/CLASSROOM G.SSE3,Area/CLASSROOM G.W4,Area/CLASSROOM E1 WEST PERIM (G.W1),Area/CLASSROOM E2 NORTH PERIM (G.N3),Area/CLASSROOM E2 SOUTH PERIM (G.S2),Area/CLASSROOM E2 WEST PERIM (G.W1),Area/CLASSROOM E4 CORE (G.C6),Area/CLASSROOM E4 EAST PERIM (G.E2),Area/CLASSROOM E4 NORTH PERIM (G.N3),Area/CLASSROOM E4 SOUTH PERIM (G.S1),Area/CLASSROOM E4 WEST PERIM (G.W4),Area/COMPUTER CLASSROOM E4 CORE SPC (G.C5),Area/CLASSROOM EL1 SPC (G.1),Electricity:Facility [J](Hourly)
SWHC012-04 Occupancy Sensor_Ex/runs/CZ01/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,CZ01,ERC,0,cDXHP,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_EUREKA - USA Custom-725940 WMO#=725940,89.3,48.33,41.21,372.96,4.94,2170.58,0.0,2139.72,0.0,3937.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8625.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3679.96,0.0,0.0,3679.96,0.0,0.0,,,,,,,,,,,,,,,89.3,3594234.18837066
SWHC012-04 Occupancy Sensor_Ex/runs/CZ01/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,CZ01,ERC,0,cDXHP,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_EUREKA - USA Custom-725940 WMO#=725940,89.3,73.83,41.21,754.02,8.69,2170.58,0.0,2139.72,0.0,5830.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10903.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3679.89,0.0,0.0,3679.89,0.0,0.0,,,,,,,,,,,,,,,89.3,4998262.200645115
SWHC012-04 Occupancy Sensor_Ex/runs/CZ02/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,CZ02,ERC,0,cDXHP,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_NAPA-CO - USA Custom-724955 WMO#=724955,89.3,94.17,38.35,130.6,643.04,2170.58,0.0,2139.72,0.0,7635.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12719.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3425.01,0.0,0.0,3425.01,0.0,0.0,,,,,,,,,,,,,,,89.3,10021209.523705054
SWHC012-04 Occupancy Sensor_Ex/runs/CZ02/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,CZ02,ERC,0,cDXHP,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_NAPA-CO - USA Custom-724955 WMO#=724955,89.3,95.13,38.35,397.26,878.33,2170.58,0.0,2139.72,0.0,7219.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12805.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3424.98,0.0,0.0,3424.98,0.0,0.0,,,,,,,,,,,,,,,89.3,9263015.066463478
SWHC012-04 Occupancy Sensor_Ex/runs/CZ01/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ01,EPr,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_EUREKA - USA Custom-725940 WMO#=725940,2322.43,79.28,44.57,0.0,10461.1,63471.11,0.0,82070.96,0.0,173658.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329661.58,16392.34,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,87124.26,0.0,0.0,146189.12,0.0,0.0,534.27,308.54,308.54,311.6,,,,,,,,,,,,183916515.70136356
SWHC012-04 Occupancy Sensor_Ex/runs/CZ01/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ01,EPr,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_EUREKA - USA Custom-725940 WMO#=725940,2322.43,65.76,49.36,0.0,10204.88,63471.11,0.0,82070.96,0.0,142519.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298266.88,27518.97,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,87123.48,0.0,0.0,157314.98,0.0,0.0,534.27,308.54,308.54,311.6,,,,,,,,,,,,159617459.81880397
SWHC012-04 Occupancy Sensor_Ex/runs/CZ02/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ02,EPr,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_NAPA-CO - USA Custom-724955 WMO#=724955,2322.43,84.17,41.05,0.0,34491.62,63471.11,0.0,82070.96,0.0,160990.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341024.59,15397.98,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,79940.18,0.0,0.0,138010.69,0.0,0.0,534.27,308.54,308.54,311.6,,,,,,,,,,,,231004071.80978927
SWHC012-04 Occupancy Sensor_Ex/runs/CZ03/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,CZ03,ERC,0,cDXHP,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_OAKLAND-METRO-AP - USA Custom-724930 WMO#=724930,89.3,79.88,38.27,201.89,358.06,2170.58,0.0,2139.72,0.0,6573.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11443.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3417.12,0.0,0.0,3417.12,0.0,0.0,,,,,,,,,,,,,,,89.3,7551460.075866792
SWHC012-04 Occupancy Sensor_Ex/runs/CZ01/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ01,ESe,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_EUREKA - USA Custom-725940 WMO#=725940,5059.32,88.49,79.38,0.0,16494.08,197273.03,0.0,258328.15,0.0,431187.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903282.67,148429.57,0.0,0.0,0.0,64094.3,0.0,0.0,0.0,0.0,0.0,0.0,253176.72,0.0,0.0,465700.59,0.0,0.0,,,,,348.47,194.37,194.37,153.88,167.05,150.43,385.38,385.38,150.43,71.59,,528800175.592444
SWHC012-04 Occupancy Sensor_Ex/runs/CZ03/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ03,EPr,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_OAKLAND-METRO-AP - USA Custom-724930 WMO#=724930,2322.43,76.12,37.66,0.0,22150.37,63471.11,0.0,82070.96,0.0,154637.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322329.53,7743.94,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,79711.68,0.0,0.0,130128.15,0.0,0.0,534.27,308.54,308.54,311.6,,,,,,,,,,,,200427612.94696438
SWHC012-04 Occupancy Sensor_Ex/runs/CZ03/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ03,EPr,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_OAKLAND-METRO-AP - USA Custom-724930 WMO#=724930,2322.43,97.02,36.36,0.0,22358.55,63471.11,0.0,82070.96,0.0,202966.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370867.11,4730.13,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,79713.15,0.0,0.0,127115.82,0.0,0.0,534.27,308.54,308.54,311.6,,,,,,,,,,,,238638928.68214735
SWHC012-04 Occupancy Sensor_Ex/runs/CZ02/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ02,ESe,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_NAPA-CO - USA Custom-724955 WMO#=724955,5059.32,107.08,62.33,0.0,77001.2,197273.03,0.0,258328.15,0.0,464750.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997352.42,82760.38,0.0,0.0,0.0,64094.3,0.0,0.0,0.0,0.0,0.0,0.0,232591.23,0.0,0.0,379445.9,0.0,0.17,,,,,348.47,194.37,194.37,153.88,167.05,150.43,385.38,385.38,150.43,71.59,,697192862.9816713
SWHC012-04 Occupancy Sensor_Ex/runs/CZ01/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ01,ESe,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_EUREKA - USA Custom-725940 WMO#=725940,5059.32,79.62,76.85,0.0,17123.77,197273.03,0.0,258328.15,0.0,385687.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858412.11,135639.11,0.0,0.0,0.0,64094.3,0.0,0.0,0.0,0.0,0.0,0.0,253179.35,0.0,0.0,452912.76,1.83,0.0,,,,,348.47,194.37,194.37,153.88,167.05,150.43,385.38,385.38,150.43,71.59,,498852858.246466
SWHC012-04 Occupancy Sensor_Ex/runs/CZ02/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ02,ESe,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_NAPA-CO - USA Custom-724955 WMO#=724955,5059.32,113.82,64.37,0.0,86578.6,197273.03,0.0,258328.15,0.0,489283.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031463.35,93110.54,0.0,0.0,0.0,64094.3,0.0,0.0,0.0,0.0,0.0,0.0,232572.41,0.0,0.0,389777.26,0.0,0.0,,,,,348.47,194.37,194.37,153.88,167.05,150.43,385.38,385.38,150.43,71.59,,740368211.9497193
SWHC012-04 Occupancy Sensor_Ex/runs/CZ03/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,CZ03,ERC,0,cDXHP,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_OAKLAND-METRO-AP - USA Custom-724930 WMO#=724930,89.3,54.96,38.27,96.62,188.11,2170.58,0.0,2139.72,0.0,4623.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9218.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3417.17,0.0,0.0,3417.17,0.0,0.0,,,,,,,,,,,,,,,89.3,6474280.674129023
SWHC012-04 Occupancy Sensor_Ex/runs/CZ02/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ02,EPr,0,cDXGF,Ex,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.04.10 13:14",CA_NAPA-CO - USA Custom-724955 WMO#=724955,2322.43,106.96,38.29,0.0,34890.22,63471.11,0.0,82070.96,0.0,213514.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393947.24,8970.49,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,79952.17,0.0,0.0,131595.19,0.0,0.0,534.27,308.54,308.54,311.6,,,,,,,,,,,,274781698.434618
