pa,bldgtype,era,bldgloc,sum_bldg
Any,SCn,New,CZ05,0.015
Any,SCn,New,CZ06,0.645
Any,SCn,New,CZ07,0.26
Any,SCn,New,CZ08,1.838
Any,SCn,New,CZ09,0.959
Any,SCn,New,CZ10,5.673
Any,SCn,New,CZ11,0.171
Any,SCn,New,CZ12,0.647
Any,SCn,New,CZ13,0.584
Any,SCn,New,CZ14,0.109
Any,SCn,New,CZ15,0.103
Any,SCn,New,CZ16,0.122
Any,SUn,Ex,CZ01,1.447
Any,SUn,Ex,CZ02,10.893
Any,SUn,Ex,CZ03,57.949
Any,SUn,Ex,CZ04,21.262
Any,SUn,Ex,CZ05,1.691
Any,SUn,Ex,CZ06,68.987
Any,SUn,Ex,CZ07,24.78
Any,SUn,Ex,CZ08,200.11
Any,SUn,Ex,CZ09,94.136
Any,SUn,Ex,CZ10,208.186
Any,SUn,Ex,CZ11,10.889
Any,SUn,Ex,CZ12,43.387
Any,SUn,Ex,CZ13,35.653
Any,SUn,Ex,CZ14,4.556
Any,SUn,Ex,CZ15,3.671
Any,SUn,Ex,CZ16,5.069
Any,SUn,New,CZ01,0.015
Any,SUn,New,CZ02,0.089
Any,SUn,New,CZ03,0.467
Any,SUn,New,CZ04,0.17
Any,SUn,New,CZ05,0.015
Any,SUn,New,CZ06,0.645
Any,SUn,New,CZ07,0.26
Any,SUn,New,CZ08,1.838
Any,SUn,New,CZ09,0.959
Any,SUn,New,CZ10,5.673
Any,SUn,New,CZ11,0.171
Any,SUn,New,CZ12,0.647
Any,SUn,New,CZ13,0.584
Any,SUn,New,CZ14,0.109
Any,SUn,New,CZ15,0.103
Any,SUn,New,CZ16,0.122
Any,WRf,Ex,CZ01,0.155
Any,WRf,Ex,CZ02,0.964
Any,WRf,Ex,CZ03,10.606
Any,WRf,Ex,CZ04,1.976
Any,WRf,Ex,CZ05,1.162
Any,WRf,Ex,CZ06,10.356
Any,WRf,Ex,CZ07,0.591
Any,WRf,Ex,CZ08,14.099
Any,WRf,Ex,CZ09,7.208
Any,WRf,Ex,CZ10,7.933
Any,WRf,Ex,CZ11,1.477
Any,WRf,Ex,CZ12,7.022
Any,WRf,Ex,CZ13,16.966
Any,WRf,Ex,CZ14,0.104
Any,WRf,Ex,CZ15,0.506
Any,WRf,Ex,CZ16,0.169
Any,WRf,New,CZ01,0.002
Any,WRf,New,CZ02,0.009
Any,WRf,New,CZ03,0.092
Any,WRf,New,CZ04,0.017
Any,WRf,New,CZ05,0.01
Any,WRf,New,CZ06,0.112
Any,WRf,New,CZ07,0.008
Any,WRf,New,CZ08,0.152
Any,WRf,New,CZ09,0.082
Any,WRf,New,CZ10,0.112
Any,WRf,New,CZ11,0.023
Any,WRf,New,CZ12,0.132
Any,WRf,New,CZ13,0.288
Any,WRf,New,CZ14,0.002
Any,WRf,New,CZ15,0.008
Any,WRf,New,CZ16,0.005
