EnergyImpactID,Version,VersionSource,LastMod,PA,BldgType,BldgVint,BldgLoc,BldgHVAC,NormUnit,NumUnit,MeasArea,ScaleBasis,APreWBkWh,APreWBkW,APreWBtherm,AStdWBkWh,AStdWBkW,AStdWBtherm,APreEUkWh,APreEUkW,APreEUtherm,AStdEUkWh,AStdEUkW,AStdEUtherm,ElecImpactProfileID,GasImpactProfileID,Flag,SourceDesc,APreUseWBkWh,APreUseWBtherm,AStdUseWBkWh,AStdUseWBtherm,AMsrUseWBkWh,AMsrUseWBtherm,APreUseEUkWh,APreUseEUtherm,AStdUseEUkWh,AStdUseEUtherm,AMsrUseEUkWh,AMsrUseEUtherm
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ01,cDXGF,Area-ft2-BA,100000,100000,None,0.0263,8.1e-05,0,0.0114,3.5e-05,0,,,,,,,,,20,"",4.1419,0.21214,4.1271,0.21214,4.1157,0.21214,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ02,cDXGF,Area-ft2-BA,100000,100000,None,0.271,0.000266,0,0.117,0.000115,0,,,,,,,,,20,"",5.0290,0.17999,4.8754,0.17999,4.7580,0.17999,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ03,cDXGF,Area-ft2-BA,100000,100000,None,0.158,0.000202,0,0.0684,8.8e-05,0,,,,,,,,,20,"",4.4008,0.12934,4.3114,0.12934,4.2430,0.12934,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ04,cDXGF,Area-ft2-BA,100000,100000,None,0.328,0.000267,0,0.142,0.000116,0,,,,,,,,,20,"",5.2644,0.14934,5.0785,0.14934,4.9363,0.14934,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ05,cDXGF,Area-ft2-BA,100000,100000,None,0.189,0.00013,0,0.0817,5.6e-05,0,,,,,,,,,20,"",4.5617,0.13504,4.4549,0.13504,4.3732,0.13504,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ06,cDXGF,Area-ft2-BA,100000,100000,None,0.328,0.000166,0,0.142,7.2e-05,0,,,,,,,,,20,"",5.0623,0.093100,4.8765,0.093100,4.7343,0.093100,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ07,cDXGF,Area-ft2-BA,100000,100000,None,0.376,0.000227,0,0.163,9.9e-05,0,,,,,,,,,20,"",5.3051,0.10182,5.0919,0.10182,4.9289,0.10182,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ08,cDXGF,Area-ft2-BA,100000,100000,None,0.483,0.000236,0,0.209,0.000102,0,,,,,,,,,20,"",5.9399,0.13405,5.6661,0.13405,5.4567,0.13405,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ09,cDXGF,Area-ft2-BA,100000,100000,None,0.549,0.000284,0,0.238,0.000123,0,,,,,,,,,20,"",6.3062,0.13725,5.9953,0.13725,5.7576,0.13725,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ10,cDXGF,Area-ft2-BA,100000,100000,None,0.676,0.000328,0,0.293,0.000142,0,,,,,,,,,20,"",7.0590,0.18110,6.6760,0.18110,6.3830,0.18110,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ11,cDXGF,Area-ft2-BA,100000,100000,None,0.682,0.000401,0,0.296,0.000174,0,,,,,,,,,20,"",7.1998,0.24382,6.8132,0.24382,6.5176,0.24382,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ12,cDXGF,Area-ft2-BA,100000,100000,None,0.569,0.000346,0,0.247,0.00015,0,,,,,,,,,20,"",6.5683,0.21451,6.2457,0.21451,5.9991,0.21451,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ13,cDXGF,Area-ft2-BA,100000,100000,None,0.742,0.00038,0,0.321,0.000165,0,,,,,,,,,20,"",7.4960,0.21870,7.0757,0.21870,6.7544,0.21870,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ14,cDXGF,Area-ft2-BA,100000,100000,None,0.917,0.000458,0,0.397,0.000198,0,,,,,,,,,20,"",8.3419,0.23118,7.8225,0.23118,7.4253,0.23118,,,,,,
Example_SEER_AC,DEER2024,D24_E+_Com_v1,2024-03-22 22:14:15,Any,Asm,New,CZ15,cDXGF,Area-ft2-BA,100000,100000,None,1.23,0.000417,0,0.535,0.000181,0,,,,,,,,,20,"",9.8164,0.19417,9.1172,0.19417,8.5825,0.19417,,,,,,
