File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ07/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,123.89,468966.21,343.42,1299961.94
CZ07/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,49.82,13345.17,139.34,37327.22
CZ07/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,57.25,15337.3,164.17,43981.1
CZ07/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,181.56,1254972.78,511.53,3535775.48
CZ07/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,187.23,1294161.08,530.23,3665026.92
CZ08/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,148.69,562862.84,426.21,1613352.34
CZ08/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,127.89,484113.51,356.41,1349153.27
CZ08/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,53.1,14226.1,150.36,40281.21
CZ08/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,61.06,16357.72,176.94,47400.9
CZ08/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,188.0,1299467.68,531.69,3675119.36
CZ08/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,194.39,1343634.14,552.63,3819858.1
CZ09/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,154.61,585246.47,446.82,1691398.76
CZ09/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,132.12,500124.47,371.54,1406420.12
CZ09/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,57.6,15429.7,165.67,44382.09
CZ09/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,64.25,17211.99,187.89,50335.06
CZ09/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,193.8,1339592.23,553.39,3825153.2
CZ09/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,199.84,1381322.12,573.31,3962821.67
CZ10/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,156.69,593147.8,452.84,1714161.29
CZ10/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,135.59,513277.54,381.1,1442602.34
CZ10/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,58.67,15717.13,169.5,45409.05
CZ10/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,67.19,17998.64,197.95,53029.52
CZ10/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,204.4,1412857.37,583.05,4030138.5
CZ10/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,212.61,1469611.62,609.3,4211633.02
CZ11/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,141.11,534159.86,394.82,1494544.34
CZ11/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,145.49,550746.9,407.61,1542946.27
CZ11/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,93.77,25120.17,286.3,76696.98
CZ11/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,77.14,20664.64,230.75,61815.61
CZ11/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,239.51,1655531.56,685.79,4740345.45
CZ11/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,225.96,1561899.13,636.93,4402560.08
CZ12/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,133.49,505293.63,368.96,1396665.62
CZ12/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,137.13,519076.38,379.11,1435060.33
CZ12/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,84.32,22589.7,254.09,68068.27
CZ12/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,69.77,18689.89,205.47,55043.0
CZ12/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,226.95,1568742.3,641.95,4437269.53
CZ12/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,214.84,1484986.46,597.73,4131610.17
CZ13/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,142.11,537927.8,402.1,1522090.15
CZ13/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,145.94,552453.14,413.53,1565368.18
CZ13/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,95.63,25619.35,293.16,78536.4
CZ13/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,77.95,20881.37,234.09,62711.69
CZ13/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,237.29,1640212.47,686.15,4742784.19
CZ13/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,222.46,1537702.46,634.06,4382767.87
CZ14/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,150.91,571254.91,436.05,1650603.65
CZ14/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,154.91,586409.31,448.55,1697926.48
CZ14/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,105.29,28206.37,326.55,87480.87
CZ14/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,85.84,22996.94,261.6,70081.49
CZ14/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,247.23,1708882.82,729.89,5045134.67
CZ14/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,230.27,1591656.81,671.82,4643725.03
CZ15/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,157.5,596183.55,463.98,1756329.01
CZ15/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,160.72,608401.89,474.49,1796129.8
CZ15/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,108.87,29166.16,340.77,91289.68
CZ15/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,89.96,24099.74,277.6,74367.62
CZ15/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,251.67,1739613.6,758.92,5245796.86
CZ15/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,234.37,1620001.36,700.75,4843713.08
CZ16/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,145.78,551824.97,403.99,1529244.73
CZ16/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,150.7,570439.33,417.06,1578747.95
CZ16/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,97.26,26055.75,296.06,79311.83
CZ16/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,80.28,21506.76,239.34,64118.33
CZ16/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,246.73,1705422.41,694.29,4799044.13
CZ16/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,233.26,1612375.25,643.29,4446564.45

