Building Type,Run Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy,,,,
ECC,M1,CZ03,cDXGF,75916278504.17,0,1780831632.07,316010230258.59,0,266715795181.17,,,,
ECC,M1,CZ04,cDXGF,144709074332.82,0,49299993925.13,489059507602.2,0,929990783452.66,,,,
ECC,M1,CZ05,cDXGF,50953751730.55,0,4018502160.53,283480143182.74,0,361806367323.47,,,,
ECC,M1,CZ06,cDXGF,1408485700.42,0,10987317271.97,52687530522,0,681848859329.04,,,,
ECC,M1,CZ07,cDXGF,0,0,13102331013.93,50444311135.28,0,732776887367.99,,,,
ECC,M1,CZ08,cDXGF,2551420713.74,0,40901255592.94,70963976996.33,0,1135713391516.43,,,,
ECC,M1,CZ09,cDXGF,16691214116.7,0,53293402438.62,111457957681.76,0,1133308907769.01,,,,
ECC,M1,CZ10,cDXGF,16619740498.79,0,65003862878.99,142499926962.56,0,1264162978207.78,,,,
ECC,M1,CZ11,cDXGF,199576158046.37,0,121216360997.29,567941983648.08,0,1358842789117.42,,,,
ECC,M1,CZ12,cDXGF,198415359621.2,0,48786866578.46,548941429294.06,0,926262983502.53,,,,
ECC,M1,CZ13,cDXGF,180364144740.95,0,121830657626.21,431190567697.11,0,1431059759314.74,,,,
ECC,M1,CZ14,cDXGF,114420399399.27,0,93375220654.22,379365890774.93,0,1338445459551.05,,,,
ECC,M1,CZ15,cDXGF,6863814659.44,0,335728084059.77,37900648724.29,0,2567893753298.48,,,,
ECC,M1,CZ16,cDXGF,244912728091.15,0,10738818788.95,992190520109.45,0,437832539985.69,,,,
ECC,M1,CZ01,cDXHP,0,34146723188.33,28812698.39,0,198713442455.75,25522149177.44,,,,
ECC,M1,CZ02,cDXHP,0,45089897480.83,16090009782.54,0,157740397982.21,557501720881.93,,,,
ECC,M1,CZ03,cDXHP,0,19177171166.01,1801153443.32,0,77596146351.05,265877313329.43,,,,
ECC,M1,CZ04,cDXHP,0,39885580391.73,49808799205.14,0,130975807604.52,939214608808.51,,,,
ECC,M1,CZ05,cDXHP,0,13012912169.41,4092075180.69,0,70765435159.18,361661058975.15,,,,
ECC,M1,CZ06,cDXHP,0,347292851.99,11132926373.9,0,12550744871.81,665636065884.64,,,,
ECC,M1,CZ07,cDXHP,0,0,13236384303.64,0,12042676533.64,718576669442.21,,,,
ECC,M1,CZ08,cDXHP,0,635805578.72,41099613291.71,0,17365601649.45,1131923198175.43,,,,
ECC,M1,CZ09,cDXHP,0,4302613924.65,53437177414.34,0,27737906429.85,1132562019291.57,,,,
ECC,M1,CZ10,cDXHP,0,4239481447.39,65074552731.17,0,35704575604.35,1264257280638.01,,,,
ECC,M1,CZ11,cDXHP,0,55277275627.86,121966675724.8,0,148715045729.02,1366865076647.48,,,,
