File,Bldg,CZ,TechID,MappedRun,srcHeat,srcCool,srcFan,fileHeat,fileCool,fileFan,MATCH
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5% UC AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,0.0,542.97,216.48,0.0,542.97,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5% UC AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,0.0,542.97,216.48,0.0,542.97,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC AOE,LRM AOE LSC R22 R410a rDXGF Base,0.0,463.02,216.48,0.0,463.02,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC AOE,LRM AOE LSC R22 R410a rDXGF Base,0.0,463.02,216.48,0.0,463.02,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC NR,LRM NR LSC R454b rDXGF Base,0.0,417.29,216.48,0.0,417.29,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-0% UC NC,LRM NR LSC R454b rDXGF Base,0.0,417.29,216.48,0.0,417.29,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15% UC AOE,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,0.0,656.31,216.48,0.0,656.31,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-15% UC AOE,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,0.0,656.31,216.48,0.0,656.31,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5% UC AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,0.0,829.45,216.48,0.0,829.45,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5% UC AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,0.0,829.45,216.48,0.0,829.45,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-30% UC AOE,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,0.0,1126.67,216.48,0.0,1126.67,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-30% UC AOE,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,0.0,1126.67,216.48,0.0,1126.67,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40% UC AOE,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,0.0,2180.66,216.48,0.0,2180.66,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40% UC AOE,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,0.0,2180.66,216.48,0.0,2180.66,216.48,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5% UC AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,2449.19,542.84,330.75,2449.19,542.84,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5% UC AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,2449.19,542.84,330.75,2449.19,542.84,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC AOE,LRM AOE LSC R22 R410a rDXHP Base,2336.75,462.66,330.75,2336.75,462.66,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC AOE,LRM AOE LSC R22 R410a rDXHP Base,2336.75,462.66,330.75,2336.75,462.66,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC NR,LRM NR LSC R32 R454b rDXHP Base,1960.95,417.43,330.75,1960.95,417.43,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC NC,LRM NR LSC R32 R454b rDXHP Base,1960.95,417.43,330.75,1960.95,417.43,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15% UC AOE,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,2576.35,656.94,330.75,2576.35,656.94,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-15% UC AOE,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,2576.35,656.94,330.75,2576.35,656.94,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5% UC AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,2721.33,831.26,330.75,2721.33,831.26,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5% UC AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,2721.33,831.26,330.75,2721.33,831.26,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30% UC AOE,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,2889.74,1131.52,330.75,2889.74,1131.52,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30% UC AOE,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,2889.74,1131.52,330.75,2889.74,1131.52,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40% UC AOE,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,3156.02,2182.73,330.75,3156.02,2182.73,330.75,Y
UEC_kWhBase.csv,DMo,1,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-40% UC AOE,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,3156.02,2182.73,330.75,3156.02,2182.73,330.75,Y
UEC_kWhBase.csv,DMo,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5% UC AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,0.0,2481.25,598.48,0.0,2481.25,598.48,Y
UEC_kWhBase.csv,DMo,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-7.5% UC AOE,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,0.0,2481.25,598.48,0.0,2481.25,598.48,Y
