Sector,BldgType,BldgVint,BldgHVAC,BldgLoc,NormUnit,Type (Whole Building or End Use),Source Year,TechGroup,TechType,TechID,UEC kWh,UEC kW (peak),UEC Therms
Res,MFm,Ex,rDXHP,6,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NR,94591.07,16.6805,5427.1997
Res,MFm,New,rDXHP,6,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NC,94591.07,16.6805,5427.1997
Res,MFm,Ex,rDXGF,7,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,92265.7,17.4218,5410.6043
Res,MFm,Ex,rDXGF,7,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,91506.13,17.0435,5410.6043
Res,MFm,New,rDXGF,7,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NC,91506.13,17.0435,5410.6043
Res,MFm,Ex,rDXHP,7,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,93011.74,17.4218,5410.6043
Res,MFm,Ex,rDXHP,7,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NR,90602.84,17.0435,5410.6043
Res,MFm,New,rDXHP,7,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NC,90602.84,17.0435,5410.6043
Res,MFm,Ex,rDXGF,8,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,109801.07,24.1167,5382.0541
Res,MFm,Ex,rDXGF,8,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,107721.71,23.2037,5382.0541
Res,MFm,New,rDXGF,8,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NC,107721.71,23.2037,5382.0541
Res,MFm,Ex,rDXHP,8,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,110617.42,24.1167,5382.0541
Res,MFm,Ex,rDXHP,8,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NR,106733.28,23.2037,5382.0541
Res,MFm,New,rDXHP,8,Area-ft2-BA,Whole Building,2015,dxHP_equip,spltHP-SEER-BA,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-NC,106733.28,23.2037,5382.0541
Res,MFm,Ex,rDXGF,9,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-AOE,118051.0,23.883,5376.9135
Res,MFm,Ex,rDXGF,9,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NR,115996.96,22.9823,5376.9135
Res,MFm,New,rDXGF,9,Area-ft2-BA,Whole Building,2015,dxAC_equip,spltAC-SEER-BA,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-LRM-LSC-NC,115996.96,22.9823,5376.9135
