Base TechID,Measure TechID,System Type,Building Type,Building Location,heat,cool,ventFan
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ09,4672.12,3674.85,1254.26
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ10,2494.44,2931.03,822.28
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ11,4949.4,3859.75,1235.93
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ12,5317.38,1916.98,916.19
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ13,5350.62,5360.16,1564.39
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ14,6603.48,2611.05,1176.52
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ15,1451.13,8984.85,1754.07
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ16,3878.63,526.81,553.39
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ01,4437.66,101.9,492.91
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ02,8738.41,1470.79,1215.43
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ03,6068.18,1337.4,957.95
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ04,8562.17,3702.27,1603.61
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ05,6430.72,1221.17,962.68
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ06,3452.58,1765.94,765.95
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ07,3010.96,1252.65,602.76
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ08,3135.29,3787.74,1123.02
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ09,4672.12,3674.85,1254.26
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ10,2494.44,2931.03,822.28
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ11,4949.4,3859.75,1235.93
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ12,5317.38,1916.98,916.19
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ13,5350.62,5360.16,1564.39
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ14,6603.48,2611.05,1176.52
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ15,1451.13,8984.85,1754.07
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ16,3878.63,526.81,553.39
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ01,4437.66,101.9,492.91
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ02,8738.41,1470.79,1215.43
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ03,6068.18,1337.4,957.95
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ04,8562.17,3702.27,1603.61
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ05,6430.72,1221.17,962.68
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ06,3452.58,1765.94,765.95
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ07,3010.96,1252.65,602.76
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ08,3135.29,3787.74,1123.02
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ09,4672.12,3674.85,1254.26
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,rDXHP,SFm,CZ10,2494.44,2931.03,822.28
