skip,case_name,:system_type,:cooling_coil_cop,:heating_coil_cop,:supplyfan_total_eff,:motor_eff
,RE-HV-PTAC-8.56EER,PTAC,2.51,,0.7,0.9
,RE-HV-PTAC-10.27EER,PTAC,3.01,,0.7,0.9
