File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Value/Program Version and Build,Value/Weather File,Area/Conditioned Total,Electricity Intensity/HVAC,Natural Gas Intensity/HVAC,Electricity/Heating,Electricity/Cooling,Electricity/Interior Lighting,Electricity/Exterior Lighting,Electricity/Interior Equipment,Electricity/Exterior Equipment,Electricity/Fans,Electricity/Pumps,Electricity/Heat Rejection,Electricity/Humidification,Electricity/Heat Recovery,Electricity/Water Systems,Electricity/Refrigeration,Electricity/Generators,Electricity/Total End Uses,Natural Gas/Heating,Natural Gas/Cooling,Natural Gas/Interior Lighting,Natural Gas/Exterior Lighting,Natural Gas/Interior Equipment,Natural Gas/Exterior Equipment,Natural Gas/Fans,Natural Gas/Pumps,Natural Gas/Heat Rejection,Natural Gas/Humidification,Natural Gas/Heat Recovery,Natural Gas/Water Systems,Natural Gas/Refrigeration,Natural Gas/Generators,Natural Gas/Total End Uses,Unmet Heating,Unmet Cooling,Area/CLASSROOM G.E1,Area/CLASSROOM G.NNE2,Area/CLASSROOM G.SSE3,Area/CLASSROOM G.W4,Area/CLASSROOM E1 WEST PERIM (G.W1),Area/CLASSROOM E2 NORTH PERIM (G.N3),Area/CLASSROOM E2 SOUTH PERIM (G.S2),Area/CLASSROOM E2 WEST PERIM (G.W1),Area/CLASSROOM E4 CORE (G.C6),Area/CLASSROOM E4 EAST PERIM (G.E2),Area/CLASSROOM E4 NORTH PERIM (G.N3),Area/CLASSROOM E4 SOUTH PERIM (G.S1),Area/CLASSROOM E4 WEST PERIM (G.W4),Area/COMPUTER CLASSROOM E4 CORE SPC (G.C5),Area/CLASSROOM EL1 SPC (G.1),Electricity:Facility [J](Hourly)
SWHC012-05 Occupancy Sensor_New/runs/CZ11/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,CZ11,ERC,0,cDXHP,New,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:46",CA_RED-BLUFF-MUNI-AP - USA Custom-725910 WMO#=725910,89.3,68.96,35.18,222.87,1466.59,991.78,0.0,2139.72,0.0,4468.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9289.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3141.88,0.0,0.0,3141.88,0.33,0.0,,,,,,,,,,,,,,,89.3,7834608.875338729
SWHC012-05 Occupancy Sensor_New/runs/CZ11/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,CZ11,ERC,0,cDXHP,New,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:46",CA_RED-BLUFF-MUNI-AP - USA Custom-725910 WMO#=725910,89.3,60.83,35.18,655.08,1839.14,991.78,0.0,2139.72,0.0,2937.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8563.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3141.84,0.0,0.0,3141.84,0.0,0.0,,,,,,,,,,,,,,,89.3,7035577.621846547
SWHC012-05 Occupancy Sensor_New/runs/CZ11/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ11,ESe,0,cDXGF,New,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:46",CA_RED-BLUFF-MUNI-AP - USA Custom-725910 WMO#=725910,5059.32,70.71,64.17,0.0,143861.32,94437.9,0.0,258328.15,0.0,213895.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710523.23,114321.82,0.0,0.0,0.0,64094.3,0.0,0.0,0.0,0.0,0.0,0.0,210326.74,0.0,0.0,388742.86,4.83,22.83,,,,,348.47,194.37,194.37,153.88,167.05,150.43,385.38,385.38,150.43,71.59,,679314998.8639042
SWHC012-05 Occupancy Sensor_New/runs/CZ12/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ12,EPr,0,cDXGF,New,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:47",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,2322.43,52.04,38.57,0.0,39431.62,30282.85,0.0,82070.96,0.0,81436.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233221.56,15453.7,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,74127.71,0.0,0.0,132253.94,0.0,4.0,534.27,308.54,308.54,311.6,,,,,,,,,,,,178149550.789456
SWHC012-05 Occupancy Sensor_New/runs/CZ12/EPr&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ12,EPr,0,cDXGF,New,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:48",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,2322.43,44.91,44.46,0.0,44370.25,30282.85,0.0,82070.96,0.0,59932.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216656.85,29113.24,0.0,0.0,0.0,42672.53,0.0,0.0,0.0,0.0,0.0,0.0,74134.67,0.0,0.0,145920.44,0.0,32.17,534.27,308.54,308.54,311.6,,,,,,,,,,,,161728806.85234535
SWHC012-05 Occupancy Sensor_New/runs/CZ11/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ11,ESe,0,cDXGF,New,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:46",CA_RED-BLUFF-MUNI-AP - USA Custom-725910 WMO#=725910,5059.32,65.81,69.02,0.0,157230.42,94437.9,0.0,258328.15,0.0,175717.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685713.55,138884.9,0.0,0.0,0.0,64094.3,0.0,0.0,0.0,0.0,0.0,0.0,210317.3,0.0,0.0,413296.49,0.0,44.0,,,,,348.47,194.37,194.37,153.88,167.05,150.43,385.38,385.38,150.43,71.59,,682779331.6170285
SWHC012-05 Occupancy Sensor_New/runs/CZ12/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,CZ12,ERC,0,cDXHP,New,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:50",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,89.3,53.72,36.05,606.57,1431.58,991.78,0.0,2139.72,0.0,2758.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7928.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3219.01,0.0,0.0,3219.01,0.17,0.0,,,,,,,,,,,,,,,89.3,6251002.109085599
SWHC012-05 Occupancy Sensor_New/runs/CZ12/ERC&0&cDXHP&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,CZ12,ERC,0,cDXHP,New,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXHP,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:48",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,89.3,57.1,36.05,202.99,1012.46,991.78,0.0,2139.72,0.0,3883.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8230.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3219.02,0.0,0.0,3219.02,0.5,0.17,,,,,,,,,,,,,,,89.3,6800359.748372167
SWHC012-05 Occupancy Sensor_New/runs/CZ12/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,CZ12,ESe,0,cDXGF,New,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:54",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,5059.32,62.57,65.66,0.0,115689.23,94437.9,0.0,258328.15,0.0,200854.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669309.89,115900.59,0.0,0.0,0.0,64094.3,0.0,0.0,0.0,0.0,0.0,0.0,216270.78,0.0,0.0,396265.67,5.0,9.0,,,,,348.47,194.37,194.37,153.88,167.05,150.43,385.38,385.38,150.43,71.59,,601863235.1010987
SWHC012-05 Occupancy Sensor_New/runs/CZ12/ESe&0&cDXGF&New&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,CZ12,ESe,0,cDXGF,New,HV_Tech,OccSens,NE-HV_Tech-OccSens-cDXGF-NoOccSens,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.09.29 02:54",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,5059.32,59.43,70.46,0.0,130314.63,94437.9,0.0,258328.15,0.0,170373.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653454.56,140221.97,0.0,0.0,0.0,64094.3,0.0,0.0,0.0,0.0,0.0,0.0,216265.98,0.0,0.0,420582.24,0.0,2.67,,,,,348.47,194.37,194.37,153.88,167.05,150.43,385.38,385.38,150.43,71.59,,607305950.6194899
