File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Site Energy,Net Source EUI,Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Water Systems NG,Electricity,Natural Gas,Unmet Heating,Unmet Cooling,Electricity:Facility [J](Hourly)
runs/CZ09/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Frz/instance-out.sql,CZ09,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,322.52,1498054.5,1020.93,4742108.25,1498054.5,58277.55,56741.12,249218.65,0.0,177584.03,0.0,115048.87,3.38,0.0,0.0,0.0,55718.87,785462.03,0.0,0.0,56741.12,58277.55,0.0,177584.03,0.0,55718.87,1384058.08,113996.42,0.0,13.0,943022584.2041981
runs/CZ09/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Cooler/instance-out.sql,CZ09,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,430.13,1997920.05,1374.85,6385982.99,1997920.05,69475.17,52613.75,249218.65,0.0,177584.03,0.0,115120.04,3.38,0.0,0.0,0.0,55718.89,1278186.13,0.0,0.0,52613.75,69475.17,0.0,177584.03,0.0,55718.89,1872725.99,125194.06,0.0,13.0,1249017587.4530978
runs/CZ09/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Frz/instance-out.sql,CZ09,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,424.0,1969423.32,1353.76,6288039.0,1969423.33,70680.98,52162.18,249218.65,0.0,177584.03,0.0,114996.66,3.38,0.0,0.0,0.0,55718.89,1249058.54,0.0,0.0,52162.18,70680.98,0.0,177584.03,0.0,55718.89,1843023.46,126399.87,0.0,12.0,1243896495.7624035
runs/CZ08/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Frz/instance-out.sql,CZ08,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,327.76,1522410.55,1044.5,4851576.76,1522410.54,46403.27,54277.8,249218.65,0.0,177584.03,0.0,110157.39,3.38,0.0,0.0,0.0,55330.03,829435.99,0.0,0.0,54277.8,46403.27,0.0,177584.03,0.0,55330.03,1420677.24,101733.3,0.0,5.0,921792934.3790803
runs/CZ08/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Frz/instance-out.sql,CZ08,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,426.84,1982615.01,1370.04,6363674.07,1982615.01,57299.73,49747.58,249218.65,0.0,177584.03,0.0,109861.05,3.38,0.0,0.0,0.0,55330.03,1283570.55,0.0,0.0,49747.58,57299.73,0.0,177584.03,0.0,55330.03,1869985.24,112629.77,0.0,5.0,1220997996.9588346
runs/CZ08/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler/instance-out.sql,CZ08,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,338.46,1572095.15,1088.01,5053641.86,1572095.15,30651.65,62789.57,249218.65,0.0,177584.03,0.0,120012.77,3.38,0.0,0.0,0.0,55330.01,876505.09,0.0,0.0,62789.57,30651.65,0.0,177584.03,0.0,55330.01,1486113.49,85981.66,0.0,0.0,879887215.5335605
runs/CZ08/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Cooler/instance-out.sql,CZ08,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,432.42,2008553.4,1389.24,6452823.2,2008553.4,56202.96,50226.95,249218.65,0.0,177584.03,0.0,109748.57,3.38,0.0,0.0,0.0,55330.03,1310238.82,0.0,0.0,50226.95,56202.96,0.0,177584.03,0.0,55330.03,1897020.41,111532.99,0.0,5.0,1223975935.4199233
runs/CZ07/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Cooler/instance-out.sql,CZ07,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,421.55,1958066.19,1356.68,6301602.97,1958066.1900000002,47478.54,24362.84,249218.65,0.0,177584.03,0.0,114505.69,3.38,0.0,0.0,0.0,56463.06,1288449.98,0.0,0.0,24362.84,47478.54,0.0,177584.03,0.0,56463.06,1854124.59,103941.6,0.0,0.0,1217525803.5754907
runs/CZ07/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Frz/instance-out.sql,CZ07,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,415.93,1931934.44,1337.33,6211738.55,1931934.44,48605.62,24027.13,249218.65,0.0,177584.03,0.0,114699.29,3.38,0.0,0.0,0.0,56463.06,1261333.28,0.0,0.0,24027.13,48605.62,0.0,177584.03,0.0,56463.06,1826865.76,105068.68,0.0,0.0,1214640720.7932832
runs/CZ07/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Frz/instance-out.sql,CZ07,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,320.66,1489432.22,1024.5,4758655.35,1489432.22,37757.74,26946.02,249218.65,0.0,177584.03,0.0,114368.81,3.38,0.0,0.0,0.0,56463.05,827090.54,0.0,0.0,26946.02,37757.74,0.0,177584.03,0.0,56463.05,1395211.43,94220.79,0.0,0.0,905960080.0364673
