Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ03,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,2.7944
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,3.7695
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,4.379
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,5.4287
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,9.1039
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,3.3706
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,3.0903
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,2.9376
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,2.9321
CZ03,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,2.7944
CZ04,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,10.6712
CZ04,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,12.9358
CZ04,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,16.8235
CZ04,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,30.6096
CZ04,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,9.1887
CZ04,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,8.1428
CZ04,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,7.5616
CZ04,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,7.5447
CZ04,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,7.0263
CZ04,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,10.6711
CZ04,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,12.9491
CZ04,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,16.8727
CZ04,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,30.6096
CZ04,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,9.1801
CZ04,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,8.1325
CZ04,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,7.5616
CZ04,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,7.5413
CZ04,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,7.0263
CZ05,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,4.3327
CZ05,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,5.0709
CZ05,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,6.3381
CZ05,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,10.8317
CZ05,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,3.8495
CZ05,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,3.5086
CZ05,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,3.3192
CZ05,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,3.3137
CZ05,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,3.1447
CZ05,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,4.3327
CZ05,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,5.0752
CZ05,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,6.3541
CZ05,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,10.8317
CZ05,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,3.8467
CZ05,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,3.5052
CZ05,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,3.3192
CZ05,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,3.3126
CZ05,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,3.1447
CZ06,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,3.6889
CZ06,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,4.2771
CZ06,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,5.2868
CZ06,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,8.8674
CZ06,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,3.3039
CZ06,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,3.0322
CZ06,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,2.8813
CZ06,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,2.8769
CZ06,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,2.7423
CZ06,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,3.6889
CZ06,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,4.2806
CZ06,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,5.2996
CZ06,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,8.8674
CZ06,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,3.3017
CZ06,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,3.0296
CZ06,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,2.8813
CZ06,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,2.876
CZ06,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,2.7423
CZ07,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,3.816
CZ07,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,4.4332
CZ07,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,5.4927
CZ07,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,9.25
CZ07,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,3.4119
CZ07,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,3.1269
CZ07,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,2.9685
CZ07,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,2.9639
CZ07,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,2.8226
CZ07,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,3.816
CZ07,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,4.4368
CZ07,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,5.5062
CZ07,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,9.25
CZ07,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,3.4096
CZ07,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,3.1241
CZ07,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,2.9685
CZ07,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,2.963
CZ07,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,2.8226
CZ08,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,5.6401
CZ08,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,6.6808
