skip,case_name,:system_type,:cooling_coil_cop,:heating_coil_cop,:supplyfan_total_eff,:motor_eff
,RE-HV-PTAC-10.70EER,PTAC,3.14,,0.7,0.9
,RE-HV-PTAC-12.84EER,PTAC,3.76,,0.7,0.9
