skip,case_name,:system_type,:cooling_coil_cop,:heating_coil_cop,:supplyfan_total_eff,:motor_eff
,RE-HV-PTHP-10.70EER-3.13COP,PTHP,3.14,3.128,0.7,0.9
,RE-HV-PTHP-12.84EER-3.76COP,PTHP,3.76,3.75,0.7,0.9
