skip,case_name,:vfd_curve_name,:supplyfan_total_eff,:motor_eff,:cooling_coil_cop,:cooling_coil_cop2,:coil_type,:hvac_type,:heating_coil_cop
,LRM AOE R22 R410a rDXHP Measure,,0.12,0.24,3.23,,,unitary_system,2.05
,LRM NR R32 R454b rDXHP Measure,,0.12,0.24,3.58,,,unitary_system,2.58
,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,,0.12,0.24,2.493,,,unitary_system,1.855
,LRM AOE LSC R22 R410a rDXHP Base,,0.12,0.24,2.925,,,unitary_system,1.969
,LRM NR LSC R32 R454b rDXHP Base,,0.12,0.24,3.242,,,unitary_system,2.478
,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,,0.12,0.24,2.06,,,unitary_system,1.741
,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,,0.12,0.24,1.628,,,unitary_system,1.627
,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,,0.12,0.24,1.196,,,unitary_system,1.512
,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,,0.12,0.24,0.62,,,unitary_system,1.36
