skip,case_name,:vfd_curve_name,:hvac_type,:supplyfan_total_eff
,RE-HV_AirDist-SupFanMtr-BA-rDXGF-PSC,,unitary_system,0.12
,RE-HV_AirDist-SupFanMtr-BA-rDXGF-ECM,VFD_Fan_Curve,unitary_system,0.25
