skip,case_name,:vfd_curve_name,:hvac_type,:supplyfan_total_eff
,RE-HV_AirDist-SupFanMtr-BA-rNCGF-PSC,,unitary_system,0.12
,RE-HV_AirDist-SupFanMtr-BA-rNCGF-ECM,VFD_Fan_Curve,unitary_system,0.25
