Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ11\Rt3\M4-cPVVG-Base\instance0602125429\eplustbl.csv,M4,Rt3,CZ11,cPVVG,Base,1029431.9600000001,933966.31,11148.36,0.0,315299.6,342725.17,365668.71,23.83,7.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ12\Rt3\M4-cPVVG-Base\instance0602142558\eplustbl.csv,M4,Rt3,CZ12,cPVVG,Base,932248.1400000001,915158.1900000001,11148.36,0.0,318432.77,245295.26,337562.29,24.67,0.33
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ13\Rt3\M4-cPVVG-Base\instance0602160539\eplustbl.csv,M4,Rt3,CZ13,cPVVG,Base,1039886.9299999999,914126.54,11148.36,0.0,258430.64,369201.06,370577.02,20.83,5.5
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ14\Rt3\M4-cPVVG-Base\instance0602140736\eplustbl.csv,M4,Rt3,CZ14,cPVVG,Base,968880.1199999999,908530.84,11148.36,0.0,273417.13,343150.6,370473.73,23.17,17.33
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ15\Rt3\M4-cPVVG-Base\instance0602044752\eplustbl.csv,M4,Rt3,CZ15,cPVVG,Base,1186563.9,826854.1499999999,11148.36,0.0,46680.5,645159.34,401243.45,6.17,25.17
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ16\Rt3\M4-cPVVG-Base\instance0601204619\eplustbl.csv,M4,Rt3,CZ16,cPVVG,Base,910325.9399999998,894280.9099999999,11148.36,0.0,488472.67,142375.14,355828.53,25.33,0.17
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ01\Rt3\M4-cPVVG-Measure\instance0601211028\eplustbl.csv,M4,Rt3,CZ01,cPVVG,Measure,656341.6099999999,821375.2900000002,11148.36,0.0,213982.25,54679.3,153303.48,19.0,0.17
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ02\Rt3\M4-cPVVG-Measure\instance0601223320\eplustbl.csv,M4,Rt3,CZ02,cPVVG,Measure,857990.19,923749.8700000001,11148.36,0.0,189985.43,202906.88,215311.58,18.33,3.67
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ03\Rt3\M4-cPVVG-Measure\instance0601235408\eplustbl.csv,M4,Rt3,CZ03,cPVVG,Measure,757782.23,818769.1900000002,11148.36,0.0,110259.16,149536.34,192062.51,14.17,0.5
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ04\Rt3\M4-cPVVG-Measure\instance0602013338\eplustbl.csv,M4,Rt3,CZ04,cPVVG,Measure,950827.3800000001,953973.5000000001,11148.36,0.0,162830.54,296601.83,244706.87,17.67,34.5
