Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
Asm,M1,cDXGF,Base,CZ01,12.469444444444443,0.0
Asm,M1,cDXGF,Measure,CZ01,12.469444444444443,131710.46385482338
Asm,M1,cDXHP,Base,CZ01,12.469444444444443,0.0
Asm,M1,cDXHP,Measure,CZ01,12.469444444444443,131993.5250520791
Asm,M1,cPTAC,Base,CZ01,12.469444444444443,0.0
Asm,M1,cPTAC,Measure,CZ01,12.469444444444443,7.176731767274349
Asm,M1,cPVVG,Base,CZ01,12.469444444444443,139416.52917870283
Asm,M1,cPVVG,Measure,CZ01,12.469444444444443,940039.6963046525
Asm,M2,cDXGF,Base,CZ01,12.469444444444443,173534217.021267
Asm,M2,cDXGF,Measure,CZ01,12.469444444444443,165744114.84507558
Asm,M2,cDXHP,Base,CZ01,12.469444444444443,177213561.6491615
Asm,M2,cDXHP,Measure,CZ01,12.469444444444443,168955307.92531583
Asm,M2,cPTAC,Base,CZ01,12.469444444444443,173534217.02126318
Asm,M2,cPTAC,Measure,CZ01,12.469444444444443,165744114.84508178
Asm,M2,cPVVG,Base,CZ01,12.469444444444443,162655816.6126769
Asm,M2,cPVVG,Measure,CZ01,12.469444444444443,158227752.5973829
Asm,M3,cDXGF,Base,CZ01,12.469444444444443,155655427.55950367
Asm,M3,cDXGF,Measure,CZ01,12.469444444444443,155655427.55950367
Asm,M3,cDXHP,Base,CZ01,12.469444444444443,155974153.03084645
Asm,M3,cDXHP,Measure,CZ01,12.469444444444443,155974153.03084645
Asm,M3,cPTAC,Base,CZ01,12.469444444444443,155655427.5595006
Asm,M3,cPTAC,Measure,CZ01,12.469444444444443,155655427.5595006
Asm,M3,cPVVG,Base,CZ01,12.469444444444443,154532661.43392488
Asm,M3,cPVVG,Measure,CZ01,12.469444444444443,154532661.43392488
Asm,M4,cDXGF,Base,CZ01,12.469444444444443,4787655.4299616255
Asm,M4,cDXGF,Measure,CZ01,12.469444444444443,7523145.47283847
Asm,M4,cDXHP,Base,CZ01,12.469444444444443,4811616.844995996
Asm,M4,cDXHP,Measure,CZ01,12.469444444444443,7569739.13556323
Asm,M4,cPTAC,Base,CZ01,12.469444444444443,3319774.941449783
Asm,M4,cPTAC,Measure,CZ01,12.469444444444443,5842738.913755875
Asm,M4,cPVVG,Base,CZ01,12.469444444444443,1468542.0447547347
Asm,M4,cPVVG,Measure,CZ01,12.469444444444443,3481026.319659388
Asm,M5,cDXGF,Base,CZ01,12.469444444444443,83889237.30062613
Asm,M5,cDXGF,Measure,CZ01,12.469444444444443,83889237.30062613
Asm,M5,cDXHP,Base,CZ01,12.469444444444443,100334442.99757409
Asm,M5,cDXHP,Measure,CZ01,12.469444444444443,100334442.99757409
Asm,M5,cPTAC,Base,CZ01,12.469444444444443,83889237.30063115
Asm,M5,cPTAC,Measure,CZ01,12.469444444444443,83889237.30063115
Asm,M5,cPVVG,Base,CZ01,12.469444444444443,83040289.01232651
