Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M1,cDXGF,Base,CZ01
CORE AUDITORIUM SZ-CAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M5,cPVVG,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-VAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
Asm,M5,cPVVG,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
NE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.657849,    0.140943
NW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.771863,    0.140943
SE CORNER OFFICE SZ-VAV OA CONTROLLER,    0.778795,    0.140943
SW CORNER OFFICE SZ-VAV OA CONTROLLER,    0.878756,    0.140944
CORE AUDITORIUM SZ-VAV OA CONTROLLER,       16.78,       13.15
Building Type,Measure,System Type,Run Type,Climate Zone
ECC,M1,cDXGF,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
SHOP EL1 WEST PERIM SPC (G.W1) SZ-CAV OA CONTROLLER,        6.28,        1.33
CLASSROOM EL2 NORTH PERIM SPC (G.N3) SZ-CAV OA CONTROLLER,        2.57,        1.43
CLASSROOM EL2 SOUTH PERIM SPC (G.S2) SZ-CAV OA CONTROLLER,        3.68,        1.43
CLASSROOM EL2 WEST PERIM SPC (G.W1) SZ-CAV OA CONTROLLER,        4.18,        2.13
DINING EL3 SW PERIM SPC (G.SW1) SZ-CAV OA CONTROLLER,        5.27,        3.10
CLASSROOM EL4 EAST PERIM SPC (G.E2) SZ-CAV OA CONTROLLER,        1.53,    0.401484
CLASSROOM EL4 NORTH PERIM SPC (G.N3) SZ-CAV OA CONTROLLER,        4.06,        2.09
CLASSROOM EL4 SOUTH PERIM SPC (G.S1) SZ-CAV OA CONTROLLER,        6.30,        2.09
CLASSROOM EL4 WEST PERIM SPC (G.W4) SZ-CAV OA CONTROLLER,        1.71,    0.401484
OFFICE EL4 CORE SPC (G.C6) SZ-CAV OA CONTROLLER,        3.85,    0.961606
CLASSROOM EL4 EAST PERIM SPC (T.E14) SZ-CAV OA CONTROLLER,        1.45,    0.401484
CLASSROOM EL4 NORTH PERIM SPC (T.N15) SZ-CAV OA CONTROLLER,        3.92,        2.09
CLASSROOM EL4 SOUTH PERIM SPC (T.S13) SZ-CAV OA CONTROLLER,        6.13,        2.09
CLASSROOM EL4 WEST PERIM SPC (T.W16) SZ-CAV OA CONTROLLER,        1.70,    0.401484
OFFICE EL4 CORE SPC (T.C18) SZ-CAV OA CONTROLLER,        3.79,    0.961613
Building Type,Measure,System Type,Run Type,Climate Zone
ECC,M1,cDXGF,Measure,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
SHOP EL1 WEST PERIM SPC (G.W1) SZ-CAV OA CONTROLLER,        6.28,        1.33
CLASSROOM EL2 NORTH PERIM SPC (G.N3) SZ-CAV OA CONTROLLER,        2.57,        1.43
CLASSROOM EL2 SOUTH PERIM SPC (G.S2) SZ-CAV OA CONTROLLER,        3.68,        1.43
CLASSROOM EL2 WEST PERIM SPC (G.W1) SZ-CAV OA CONTROLLER,        4.18,        2.13
DINING EL3 SW PERIM SPC (G.SW1) SZ-CAV OA CONTROLLER,        5.27,        3.10
CLASSROOM EL4 EAST PERIM SPC (G.E2) SZ-CAV OA CONTROLLER,        1.53,    0.401484
CLASSROOM EL4 NORTH PERIM SPC (G.N3) SZ-CAV OA CONTROLLER,        4.06,        2.09
CLASSROOM EL4 SOUTH PERIM SPC (G.S1) SZ-CAV OA CONTROLLER,        6.30,        2.09
CLASSROOM EL4 WEST PERIM SPC (G.W4) SZ-CAV OA CONTROLLER,        1.71,    0.401484
OFFICE EL4 CORE SPC (G.C6) SZ-CAV OA CONTROLLER,        3.85,    0.961606
CLASSROOM EL4 EAST PERIM SPC (T.E14) SZ-CAV OA CONTROLLER,        1.45,    0.401484
CLASSROOM EL4 NORTH PERIM SPC (T.N15) SZ-CAV OA CONTROLLER,        3.92,        2.09
CLASSROOM EL4 SOUTH PERIM SPC (T.S13) SZ-CAV OA CONTROLLER,        6.13,        2.09
CLASSROOM EL4 WEST PERIM SPC (T.W16) SZ-CAV OA CONTROLLER,        1.70,    0.401484
OFFICE EL4 CORE SPC (T.C18) SZ-CAV OA CONTROLLER,        3.79,    0.961613
Building Type,Measure,System Type,Run Type,Climate Zone
ECC,M1,cDXHP,Base,CZ01
System,Maximum Outdoor Air Flow Rate,Minimum Outdoor Air Flow Rate
SHOP EL1 WEST PERIM SPC (G.W1) SZ-CAV OA CONTROLLER,        6.28,        1.33
CLASSROOM EL2 NORTH PERIM SPC (G.N3) SZ-CAV OA CONTROLLER,        2.57,        1.43
CLASSROOM EL2 SOUTH PERIM SPC (G.S2) SZ-CAV OA CONTROLLER,        3.68,        1.43
CLASSROOM EL2 WEST PERIM SPC (G.W1) SZ-CAV OA CONTROLLER,        4.18,        2.13
