skip,case_name,:vfd_curve_name,:supplyfan_total_eff,:motor_eff,:cooling_coil_cop,:cooling_coil_cop2,:coil_type,:hvac_type,:heating_coil_cop
,LRM AOE R22 R410a rDXHP Base,,0.12,0.24,3.230,,,unitary_system,2.050
,LRM AOE LSC R22 R410a rDXHP Measure,,0.12,0.24,3.535,,,unitary_system,2.131
,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Measure,,0.12,0.24,3.967,,,unitary_system,2.245
,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,,0.12,0.24,4.400,,,unitary_system,2.359
,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Measure,,0.12,0.24,4.832,,,unitary_system,2.474
,LRM AOE +30% RCA LSC R22 R410a rDXHP Measure,,0.12,0.24,5.264,,,unitary_system,2.588
,LRM AOE +40% RCA LSC R22 R410a rDXHP Measure,,0.12,0.24,5.840,,,unitary_system,2.740
,LRM NR R32 R454b rDXHP Base,,0.12,0.24,3.580,,,unitary_system,2.580
,LRM NR LSC R32 R454b rDXHP Measure,,0.12,0.24,3.918,,,unitary_system,2.682
