TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ01,cDXGF,0,Area-ft2-BA,299999.6,299999.6,1650199.9000000001,340017.04,0,936314.72,0.0,116978.59,0,0,225194.81,0,0,0,0,0,0,14798.875085324233,2342.2389078498295,12456.636177474402,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ02,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2049487.35,340017.04,0,936314.72,0.0,469036.5,0,0,258044.76,0,0,0,0,0,0,9433.186689419796,2342.2389078498295,7090.947781569966,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ03,cDXGF,0,Area-ft2-BA,299999.6,299999.6,1949600.5299999998,340017.04,0,936314.72,0.0,371942.6,0,0,258367.23,0,0,0,0,0,0,6948.539249146758,2342.2389078498295,4606.300341296928,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ04,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2131873.75,340017.04,0,936314.72,0.0,535509.8,0,0,272453.5,0,0,0,0,0,0,6669.806825938567,2342.2389078498295,4327.567918088737,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ05,cDXGF,0,Area-ft2-BA,299999.6,299999.6,1988508.9100000001,340017.04,0,936314.72,0.0,404198.84,0,0,269323.55,0,0,0,0,0,0,6874.41023890785,2342.2389078498295,4532.17133105802,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ06,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2238474.02,340017.04,0,936314.72,0.0,613845.46,0,0,306281.38,0,0,0,0,0,0,3454.574744027304,2342.2389078498295,1112.3358361774742,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ07,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2254235.79,340017.04,0,936314.72,0.0,640461.29,0,0,293448.22,0,0,0,0,0,0,3323.297610921502,2342.2389078498295,981.0587030716723,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ08,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2322634.35,340017.04,0,936314.72,0.0,709992.26,0,0,287688.42,0,0,0,0,0,0,3842.2989761092153,2342.2389078498295,1500.0600682593856,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ09,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2391080.93,340017.04,0,936314.72,0.0,766321.49,0,0,299808.71,0,0,0,0,0,0,3594.458703071673,2342.2389078498295,1252.219795221843,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ10,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2536715.5500000003,340017.04,0,936314.72,0.0,894809.65,0,0,309699.73,0,0,0,0,0,0,5653.011945392492,2342.2389078498295,3310.7730375426618,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ11,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2524729.6400000006,340017.04,0,936314.72,0.0,887473.42,0,0,304770.26,0,0,0,0,0,0,10159.172696245734,2342.2389078498295,7816.933788395904,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ12,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2404129.12,340017.04,0,936314.72,0.0,783251.35,0,0,289834.95,0,0,0,0,0,0,8604.827986348122,2342.2389078498295,6262.589078498293,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ13,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2650234.5300000003,340017.04,0,936314.72,0.0,995775.05,0,0,319693.22,0,0,0,0,0,0,7728.464163822526,2342.2389078498295,5386.225255972696,0.0,1,1,2024-02-07 21:46:14.214415
