skip,case_name,:refsys_condenser_type,:mt_meatdc1_case_type,:mt_fishdc_case_type,:mt_melon_case_type,:mt_deli_case_type,:mt_deliserv_case_type,:mt_meat2_case_type,:mt_meat3_case_type,:mt_dairy1_case_type,:mt_dairy2_case_type,:mt_produce_case_type,:lt_reachins_case_type,:lt_icreachin_case_type,:lt_dualtemp1_case_type,:lt_dualtemp2_case_type,:mt_meatdc1_credit_sch,:mt_fishdc_credit_sch,:mt_melon_credit_sch,:mt_deli_credit_sch,:mt_deliserv_credit_sch,:mt_meat2_credit_sch,:mt_meat3_credit_sch,:mt_dairy1_credit_sch,:mt_dairy2_credit_sch,:mt_produce_credit_sch,:lt_reachin1_credit_sch,:lt_reachin2_credit_sch,:lt_icreachin_credit_sch,:lt_dualtemp1_credit_sch,:lt_dualtemp2_credit_sch
,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,AirCooled,OPEN ,OPEN ,OPEN ,OPEN ,OPEN ,OPEN ,OPEN ,OPEN ,OPEN ,OPEN ,,,,,"Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.5,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.5;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.5,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.5;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.5,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.5;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.5,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.5;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.5,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.5;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.5,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.5;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.5,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.5;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.5,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.5;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.5,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.5;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.5,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.5;",,,,,
,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,AirCooled,,,,,,,,,,,OPEN ,OPEN ,OPEN ,OPEN ,,,,,,,,,,,"Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.85,\n  Until: 21:00, 0.95,\n  Until: 24:00, 0.85;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.85,\n  Until: 21:00, 0.95,\n  Until: 24:00, 0.85;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.85,\n  Until: 21:00, 0.95,\n  Until: 24:00, 0.85;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.85,\n  Until: 21:00, 0.95,\n  Until: 24:00, 0.85;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.85,\n  Until: 21:00, 0.95,\n  Until: 24:00, 0.85;"
,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,AirCooled,GLASS-DOOR,GLASS-DOOR,GLASS-DOOR,GLASS-DOOR,GLASS-DOOR,GLASS-DOOR,GLASS-DOOR,GLASS-DOOR,GLASS-DOOR,GLASS-DOOR,,,,,"Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.15,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.15,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.15,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.15,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.15,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.15,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.15,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.15,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.15,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.15,\n  Until: 24:00, 0.1;",,,,,
,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,AirCooled,,,,,,,,,,,GLASS-DOOR,GLASS-DOOR,GLASS-DOOR,GLASS-DOOR,,,,,,,,,,,"Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.15,\n  Until: 21:00, 0.25,\n  Until: 24:00, 0.15;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.15,\n  Until: 21:00, 0.25,\n  Until: 24:00, 0.15;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.15,\n  Until: 21:00, 0.25,\n  Until: 24:00, 0.15;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.15,\n  Until: 21:00, 0.25,\n  Until: 24:00, 0.15;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.15,\n  Until: 21:00, 0.25,\n  Until: 24:00, 0.15;"
