Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ09\MLI\M3-cDXHP-Base\instance0820035712\eplustbl.csv,M3,MLI,CZ09,cDXHP,Base,743780.53,743780.53,9291.61,4869.41,0.0,191059.5,71997.85,4.33,0.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ10\MLI\M3-cDXHP-Base\instance0820055516\eplustbl.csv,M3,MLI,CZ10,cDXHP,Base,749718.55,749718.55,9291.61,4247.49,0.0,197085.73,71866.11,3.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ11\MLI\M3-cDXHP-Base\instance0820075428\eplustbl.csv,M3,MLI,CZ11,cDXHP,Base,810447.62,810447.62,9291.61,17893.18,0.0,194329.13,70370.81,14.17,1.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ12\MLI\M3-cDXHP-Base\instance0820094114\eplustbl.csv,M3,MLI,CZ12,cDXHP,Base,794445.1100000001,794445.1100000001,9291.61,16761.01,0.0,166430.49,61437.75,14.33,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ13\MLI\M3-cDXHP-Base\instance0820112841\eplustbl.csv,M3,MLI,CZ13,cDXHP,Base,809900.71,809900.71,9291.61,13895.45,0.0,215438.65,77647.89,13.0,2.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ14\MLI\M3-cDXHP-Base\instance0820113557\eplustbl.csv,M3,MLI,CZ14,cDXHP,Base,810531.87,810531.87,9291.61,16325.38,0.0,197990.64,76479.42,16.5,0.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ15\MLI\M3-cDXHP-Base\instance0820010422\eplustbl.csv,M3,MLI,CZ15,cDXHP,Base,817706.27,817706.27,9291.61,2017.57,0.0,313218.83,109198.7,1.33,14.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ16\MLI\M3-cDXHP-Base\instance0819154551\eplustbl.csv,M3,MLI,CZ16,cDXHP,Base,783894.26,783894.26,9291.61,41494.86,0.0,116999.76,64717.03,24.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ01\MLI\M3-cDXHP-Measure\instance0821182231\eplustbl.csv,M3,MLI,CZ01,cDXHP,Measure,736183.86,736183.86,9291.61,22583.86,0.0,54709.57,31774.97,23.0,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ02\MLI\M3-cDXHP-Measure\instance0821184520\eplustbl.csv,M3,MLI,CZ02,cDXHP,Measure,773223.4500000001,773223.4500000001,9291.61,15482.23,0.0,100420.9,48193.67,15.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ03\MLI\M3-cDXHP-Measure\instance0821190309\eplustbl.csv,M3,MLI,CZ03,cDXHP,Measure,715939.13,715939.13,9291.61,8785.2,0.0,87953.4,42957.66,9.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ04\MLI\M3-cDXHP-Measure\instance0821192310\eplustbl.csv,M3,MLI,CZ04,cDXHP,Measure,797824.79,797824.79,9291.61,13076.68,0.0,129659.72,59577.75,13.0,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ05\MLI\M3-cDXHP-Measure\instance0821194116\eplustbl.csv,M3,MLI,CZ05,cDXHP,Measure,737972.2200000001,737972.2200000001,9291.61,7434.5,0.0,87914.41,42097.48,7.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ06\MLI\M3-cDXHP-Measure\instance0821195916\eplustbl.csv,M3,MLI,CZ06,cDXHP,Measure,699014.5,699014.5,9291.61,2065.44,0.0,121902.96,59727.7,1.67,0.0
