skip,climate,hz_cz,weather_file,ashrae_climate,codes_file
,CZ01,,CA_EUREKA_725940S_CZ2022.epw,CZ01,deer-sfm-1975-1985.csv
,CZ02,,CA_NAPA-CO_724955S_CZ2022.epw,CZ02,deer-sfm-1975-1985.csv
,CZ03,,CA_OAKLAND-METRO-AP_724930S_CZ2022.epw,CZ03,deer-sfm-1975-1985.csv
,CZ04,,CA_SAN-JOSE-IAP_724945S_CZ2022.epw,CZ04,deer-sfm-1975-1985.csv
,CZ05,,CA_SANTA-MARIA-PUBLIC-AP_723940S_CZ2022.epw,CZ05,deer-sfm-1975-1985.csv
,CZ06,,CA_LOS-ANGELES-IAP_722950S_CZ2022.epw,CZ06,deer-sfm-1975-1985.csv
,CZ07,,CA_SAN-DIEGO-LINDBERGH-FLD_722900S_CZ2022.epw,CZ07,deer-sfm-1975-1985.csv
,CZ08,,CA_LONG-BEACH-DAUGHERTY-FLD_722970S_CZ2022.epw,CZ08,deer-sfm-1975-1985.csv
,CZ09,,CA_LOS-ANGELES-DOWNTOWN-USC_722874S_CZ2022.epw,CZ09,deer-sfm-1975-1985.csv
