skip,case_name,:heat_type,:combi,:system_type,:cooling_coil_cop,:heating_coil_cop
,RE-HV-PTHP-8.46EER-2.61COP,DX,,PTHP,2.48,2.61
,RE-HV-PTHP-10.15EER-3.13COP,DX,,PTHP,2.98,3.14
