skip,case_name,:refsys_condenser_type,:mt_deli_case_type,:mt_deli_capacity,:mt_deli_fan_power,:mt_deli_ash_power,:mt_deli_light_power,:mt_meat3_case_type,:mt_meat3_capacity,:mt_meat3_fan_power,:mt_meat3_ash_power,:mt_meat3_light_power,:mt_dairy1_case_type,:mt_dairy1_capacity,:mt_dairy1_fan_power,:mt_dairy1_ash_power,:mt_dairy1_light_power,:lt_icreachin_case_type,:lt_icreachin_capacity,:lt_icreachin_fan_power,:lt_icreachin_ash_power,:lt_icreachin_light_power,:lt_dualtemp1_case_type,:lt_dualtemp1_capacity,:lt_dualtemp1_fan_power,:lt_dualtemp1_ash_power,:lt_dualtemp1_light_power,:lt_dualtemp2_case_type,:lt_dualtemp2_capacity,:lt_dualtemp2_fan_power,:lt_dualtemp2_ash_power,:lt_dualtemp2_light_power,:mt_deli_credit_sch,:mt_meat3_credit_sch,:mt_dairy1_credit_sch,:lt_icreachin_credit_sch,:lt_dualtemp1_credit_sch,:lt_dualtemp2_credit_sch
,NE-Ref_Storage-VertDisplay-OpenCase-Cooler,AirCooled,OPEN ,1610,42.6,0,59,OPEN ,1610,42.7,0,59,OPEN ,1610,42.7,0,59,,,,,,,,,,,,,,,,"Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.2,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.2;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.2,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.2;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.2,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.2;",,,
,NE-Ref_Storage-VertDisplay-OpenCase-Frz,AirCooled,,,,,,,,,,,,,,,,OPEN ,564,68.8,267.5,0,OPEN ,529,29.5,78.7,0,OPEN ,529,29.5,78.7,0,,,,"Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.2,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.2;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.2,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.2;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.2,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.2;"
,NE-Ref_Storage-VertDisplay-GlassDoor-Frz,AirCooled,,,,,,,,,,,,,,,,GLASS-DOOR,83.5,10.2,39.6,0,GLASS-DOOR,78.3,4.4,11.7,0,GLASS-DOOR,78.3,4.4,11.7,0,,,,"Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.4,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.4,\n  Until: 24:00, 0.1;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.1,\n  Until: 21:00, 0.4,\n  Until: 24:00, 0.1;"
,NE-Ref_Storage-VertDisplay-GlassDoor-Cooler,AirCooled,GLASS-DOOR,149.7,4,0,5.5,GLASS-DOOR,149.8,4,0,5.5,GLASS-DOOR,149.8,4,0,5.5,,,,,,,,,,,,,,,,"Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.2,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.2;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.2,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.2;","Through: 12/31,\n  For:AllDays,\n  Interpolate:No,\n  Until: 7:00, 0.2,\n  Until: 21:00, 0.6,\n  Until: 24:00, 0.2;",,,
