skip,case_name,:total_leakage_ratio,:return_leakage_frac
,Pre-HV-DuctSeal-HighToLow,0.35,
,Pre-HV-DuctSeal-MedToLow,0.25,
,Duct_Seal_Measure_Low,0.15,
