skip,case_name,:heat_type,:combi,:boiler_eff,:boiler_eff_curve,:curve_evaluation_variable,:design_hw_temp,:min_hw_temp,:sub_heat_type,:cooling_coil_cop,:heating_coil_cop,:supplyfan_total_eff,:motor_eff,:burner_eff,:ductless,:use_dummy_return_plenum,:vfd_curve_name,:coil_type,:hvac_type,:dhw_stpt_sch,:water_heater_type,:tank_size,:uef,:tank_height,:loop_sept,:tank_sept
,Pre-RE-HV-RoomAC-9.0E-ERheat,DX,,,,,,,,2.64,2.2854,0.7,0.9,,TRUE,FALSE,,,,,,,,,,
,Std-RE-HV-RoomAC-9.8E-ERheat,DX,,,,,,,,2.87,2.2854,0.7,0.9,,TRUE,FALSE,,,,,,,,,,
,RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2,DX,,,,,,,,3.68,3.69,0.12,0.24,,TRUE,FALSE,,,,,,,,,,
,RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2,DX,,,,,,,,3.99,3.99,0.12,0.24,,TRUE,FALSE,,,,,,,,,,
,RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2,DX,,,,,,,,4.24,4.11,0.25,0.5,,TRUE,FALSE,VFD_Fan_Curve,multispeed,unitary_system,,,,,,,
,RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2,DX,,,,,,,,4.53,4.2,0.25,0.5,,TRUE,FALSE,VFD_Fan_Curve,multispeed,unitary_system,,,,,,,
,RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2,DX,,,,,,,,4.65,4.24,0.25,0.5,,TRUE,FALSE,VFD_Fan_Curve,multispeed,unitary_system,,,,,,,
#,DEFAULTS,,,,,,,,,,,,,,,,,,,,,,,,,
