skip,case_name,:temp_schedule
,RG-WaterHtg_eq-TempCtrl-Full-RecircLoop-Std,DH DHW Constant Temp Setpt
,RG-WaterHtg_eq-TempCtrl-Full-RecircLoop-Msr,DH New DHW Varying Temp Setpt
