skip,case_name,:main_oa_econ_max_temp,:main_oa_econ_type,:main_oa_frac_max_sch,:hvac_config,:main_hvac_type,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_cool_coil_type,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_cool_coil_cop,:main_dx_comp_speed,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac
,NE-HV_AirDist-AirEcono-cDXOH-SP55F,55['F'],FIXED-DRY-BULB,"Through: 12/31,\n  For: AllDays,\n  Until: 24:00, .7;",,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,NONE,PNNL,FLOATING,95['F'],NONCOINCIDENT,3.65,CONSTANT,,,CONSTANT,0.87,,,1
,NE-HV_AirDist-AirEcono-cDXOH-SP63F,63['F'],FIXED-DRY-BULB,"Through: 12/31,\n  For: AllDays,\n  Until: 24:00, .7;",,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,NONE,PNNL,FLOATING,95['F'],NONCOINCIDENT,3.65,CONSTANT,,,CONSTANT,0.87,,,1
,NE-HV_AirDist-AirEcono-cDXOH-SP68F,68['F'],FIXED-DRY-BULB,"Through: 12/31,\n  For: AllDays,\n  Until: 24:00, .7;",,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,NONE,PNNL,FLOATING,95['F'],NONCOINCIDENT,3.65,CONSTANT,,,CONSTANT,0.87,,,1
,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,,FIXED-DRY-BULB,"Through: 12/31,\n  For: AllDays,\n  Until: 24:00, .7;",,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,NONE,PNNL,FLOATING,95['F'],NONCOINCIDENT,3.65,CONSTANT,,,CONSTANT,0.87,,,1
