TabularDataIndex,Value,ReportName,ReportForString,TableName,RowName,ColumnName,Units,File Name
4,2146903.35,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ02/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
6,48.64,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
2,619570.28,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
8,147.32,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
4,1876682.7,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
6,44.94,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
2,572531.62,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
8,135.0,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
4,1719661.03,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
6,49.5,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
2,630614.8,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
8,150.22,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
4,1913530.94,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ03/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
6,54.99,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
2,700517.27,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
8,164.83,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
4,2099646.13,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
6,53.78,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
2,685103.26,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
8,160.82,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
4,2048665.73,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
6,58.07,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
2,739718.51,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
8,175.14,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
4,2230992.85,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ04/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
6,49.01,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
2,624322.51,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
8,149.02,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
4,1898319.51,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
6,45.83,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
2,583762.8,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
8,138.39,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
4,1762948.31,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
6,49.73,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
2,633429.28,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
8,151.41,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
4,1928724.21,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
6,55.62,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
2,708515.28,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
8,174.45,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
4,2222288.33,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
6,53.51,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
2,681694.08,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
8,167.36,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
4,2131938.83,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
6,56.98,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
2,725849.07,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
8,178.94,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&Ex&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
